job_name,task_name,inst_num,gpu_type,start_time_j,cpu_usage,gpu_wrk_util,avg_mem,avg_gpu_wrk_mem,plan_cpu,plan_gpu,plan_mem,duration_s
590be5ebb022ca4f6ae02ea2,tensorflow,1.0,MISC,2131246.0,95.62162162162164,5.0,1.7436648637820509,3.4506103515625,600.0,100.0,29.296875,186.0
e583ea0ce8c1e0eccc26bec5,tensorflow,1.0,MISC,2131442.0,105.0,3.8571428571428568,1.0554421164772727,0.18903459821428573,600.0,25.0,29.296875,97.0
3a5f39199be1d42f92a3ffba,tensorflow,1.0,MISC,2131530.0,323.0,2.833333333333333,0.8518288352272727,0.191162109375,600.0,100.0,29.296875,52.0
5e3be7f7e4ff9aa3452a761d,tensorflow,1.0,T4,2131615.0,75.16,25.0,0.9582421875,0.4804296875,600.0,100.0,29.296875,111.0
6e9ca8fbfc0032e980c25cdd,tensorflow,1.0,MISC,2131771.0,37.27272727272727,0.9722222222222222,2.0389508928571427,0.17526584201388892,600.0,25.0,29.296875,164.0
f9c8a99dc7e140f48361da36,tensorflow,1.0,MISC,2131825.0,67.0,0.2727272727272727,1.1489955357142858,0.32958984375,600.0,25.0,29.296875,96.0
7f010f456d7ec7396c2f819e,tensorflow,1.0,T4,2131828.0,43.368421052631575,2.1904761904761907,1.115673828125,0.6203497023809523,600.0,100.0,29.296875,91.0
4c5b3ed3416b5667252dacca,tensorflow,1.0,MISC,2131907.0,231.3448275862069,31.29032258064516,1.344096522177419,7.325006300403228,600.0,100.0,29.296875,145.0
4846c17466dd9ec35ba515af,tensorflow,1.0,T4,2132147.0,55.0,2.769230769230769,0.723876953125,0.4698768028846154,600.0,100.0,29.296875,51.0
bad040bd74d3c3882d5789ac,tensorflow,1.0,T4,2132219.0,57.27272727272727,0.07142857142857142,1.0899939903846154,0.4021344866071429,600.0,100.0,29.296875,62.0
0287ed48a38097d48693c52c,tensorflow,1.0,MISC,2132391.0,96.51282051282051,0.0975609756097561,1.3902439024390238,1.2336366234756098,600.0,100.0,29.296875,193.0
9ce8a5df22d1f57fcd137029,tensorflow,1.0,MISC,2132443.0,169.73170731707316,29.534883720930228,1.4494406960227273,7.609897347383722,600.0,100.0,29.296875,204.0
3461d1a48c072f30df18a010,tensorflow,1.0,MISC,2132447.0,87.18918918918921,0.35,2.307116386217949,0.9210693359375,600.0,25.0,29.296875,185.0
c974e31abf5ab88512cc4fc1,tensorflow,1.0,MISC,2132516.0,114.6829268292683,8.976744186046512,1.0574840198863635,0.21359465843023254,600.0,25.0,29.296875,205.0
1f10dd2ac87cf3cc949d5382,tensorflow,1.0,T4,2132545.0,58.13333333333333,0.375,0.74169921875,0.5159912109375,600.0,100.0,29.296875,61.0
268de139e27be3e3e07c15ce,tensorflow,1.0,T4,2132663.0,66.84615384615384,2.2857142857142856,0.8345424107142858,0.38853236607142855,600.0,100.0,29.296875,61.0
a87611ca713c49b170df5e6a,tensorflow,1.0,MISC,2132673.0,71.86666666666666,2.5531914893617023,0.6354097406914894,0.2324010970744681,600.0,100.0,29.296875,163.0
1e981936c617e7f27947ec68,tensorflow,1.0,MISC,2132708.0,100.8846153846154,2.107142857142857,3.4225983796296298,1.1811174665178572,600.0,100.0,29.296875,275.0
aa7585f37494350cb875ae8b,tensorflow,1.0,T4,2132799.0,65.69565217391305,25.52,0.9093831380208336,0.495546875,600.0,100.0,29.296875,111.0
5cbc32d2765ec4e1c6a447e0,tensorflow,1.0,MISC,2132886.0,106.35135135135135,3.05,1.4226512419871795,0.69736328125,600.0,200.0,29.296875,182.0
