cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
58.2,13.5,90,12.87,33,9.38,65,12.75,0,10.15
31.9,12.8,0,12.87,34,9.38,80,12.75,0,10.15
56.6,13.7,0,12.87,30,9.38,64,12.75,85,13.02
19.4,15.2,90,12.87,30,9.38,31,12.75,93,13.02
30.2,13.4,83,12.87,33,9.38,91,12.75,96,13.02
29.1,13.5,74,12.87,8,9.38,90,12.75,0,13.04
43.8,13.3,82,12.87,25,9.38,91,12.75,0,13.04
89.6,13.0,66,12.87,19,9.38,0,1.27,44,13.04
31.9,9.0,0,1.27,34,9.38,0,1.27,76,13.04
55.4,11.3,0,1.27,31,9.38,1,1.27,69,13.04
40.1,10.0,0,1.27,29,9.38,0,1.27,0,13.04
48.5,11.5,3,6.19,31,9.38,0,1.27,0,13.04
5.3,12.8,89,13.77,31,9.38,0,1.27,0,13.04
30.7,12.3,89,13.77,34,9.38,0,1.27,88,13.04
47.1,12.7,82,13.77,26,9.38,0,1.27,81,13.04
49.7,12.9,76,13.77,6,9.38,6,3.63,95,13.04
9.7,14.1,82,13.77,19,9.38,1,7.16,9,13.04
16.3,13.7,41,13.77,32,9.38,0,16.52,0,13.04
53.9,13.5,14,13.77,28,9.38,94,16.52,0,13.04
5.1,15.4,89,13.77,31,9.38,34,16.52,0,13.04
54.0,13.8,58,13.77,26,9.38,94,16.52,97,13.04
58.3,14.8,84,13.77,28,9.38,98,16.52,71,13.04
8.6,12.7,0,1.27,20,9.38,90,16.52,37,13.04
55.1,12.4,0,1.27,20,9.38,96,16.52,0,13.04
39.0,12.5,4,4.09,17,9.38,26,16.52,0,13.04
54.3,13.3,4,8.05,4,9.38,94,16.52,0,13.04
5.2,14.8,32,9.38,26,9.38,47,16.52,8,13.04
55.2,13.8,18,9.38,8,9.38,49,16.52,63,13.04
58.8,14.5,32,9.38,21,9.38,97,16.52,21,13.04
55.7,13.8,28,9.38,14,9.38,58,16.52,53,13.04
36.8,13.8,32,9.38,32,9.38,97,16.52,78,13.04
43.2,15.4,30,9.38,30,9.38,95,16.52,0,1.27
53.1,10.1,23,9.38,0,1.27,97,16.52,0,1.27
13.8,10.3,35,9.38,0,1.27,96,16.52,0,1.27
54.1,12.4,28,9.38,0,1.27,85,16.52,0,1.32
52.7,10.9,30,9.38,4,5.27,96,16.52,4,8.67
54.1,11.9,6,1.27,0,9.87,75,16.52,0,9.88
80.4,12.8,0,1.27,0,9.87,95,16.52,0,9.88
54.1,13.9,0,1.27,0,9.87,91,16.52,72,12.82
58.2,13.9,0,1.27,96,12.86,96,16.52,46,12.82
59.9,14.1,0,1.27,35,12.86,88,16.52,64,12.82
9.5,15.5,0,1.27,69,12.86,73,16.52,38,12.82
58.2,14.5,0,1.27,34,12.86,97,16.52,77,12.82
10.0,15.3,0,1.27,35,12.86,74,16.52,76,12.82
44.2,15.2,0,1.27,0,12.86,96,16.52,80,12.82
6.6,16.9,4,5.37,0,12.86,94,16.52,45,12.82
57.0,16.3,0,9.51,0,12.86,95,16.52,73,12.82
28.6,16.6,95,16.52,85,12.86,54,16.52,32,12.82
58.6,16.3,37,16.52,33,12.86,44,16.52,0,12.82
59.7,16.6,97,16.52,94,12.86,88,16.52,0,12.82
57.4,15.9,74,16.52,34,12.86,84,16.52,0,12.82
51.4,16.4,60,16.52,89,12.86,0,1.27,0,12.82
57.9,12.9,60,16.52,45,12.86,0,1.27,62,12.82
13.6,13.0,57,16.52,0,1.27,0,1.27,89,12.82
30.7,12.3,98,16.52,0,1.27,5,6.58,43,12.82
55.3,12.3,95,16.52,0,1.27,0,9.87,62,12.82
43.4,12.7,97,16.52,0,1.27,0,9.87,90,12.82
14.2,13.9,97,16.52,2,6.54,0,9.87,28,12.82
59.1,14.5,50,16.52,0,9.87,68,12.95,21,12.82
32.0,15.0,97,16.52,0,9.87,81,12.95,46,12.82
61.0,14.8,33,16.52,0,9.87,63,12.95,54,12.82
39.5,15.0,97,16.52,29,12.86,0,12.97,0,1.27
7.0,12.7,38,16.52,40,12.86,0,12.97,0,1.27
56.4,12.8,50,16.52,57,12.86,0,12.97,0,1.27
61.4,14.2,89,16.52,89,12.86,96,12.97,4,5.96
44.6,15.5,97,16.52,78,12.86,86,12.97,0,10.77
11.2,14.9,97,16.52,0,12.86,0,12.97,0,10.77
40.0,14.3,96,16.52,0,12.86,0,12.97,0,10.77
37.8,14.7,44,16.52,0,12.86,0,12.97,69,12.89
56.7,17.2,97,16.52,88,12.86,77,12.97,63,12.89
63.1,16.6,94,16.52,85,12.86,24,12.97,77,12.89
14.6,16.2,96,16.52,62,12.86,79,12.97,86,12.89
22.5,14.8,86,16.52,76,12.86,0,12.97,82,12.89
6.8,15.1,87,16.52,0,12.86,0,12.97,87,12.89
62.8,14.8,94,16.52,0,12.86,75,12.97,77,12.89
57.5,16.4,91,16.52,0,12.86,39,12.97,0,12.89
11.8,15.7,98,16.52,76,12.86,78,12.97,0,12.89
50.7,15.8,97,16.52,85,12.86,0,12.97,0,12.89
70.4,15.1,98,16.52,35,12.86,0,12.97,62,12.89
33.1,15.1,97,16.52,77,12.86,0,12.97,73,12.89
13.6,11.7,0,1.27,0,12.86,94,12.97,83,12.89
90.8,11.4,0,1.27,0,12.86,85,12.97,87,12.89
58.9,12.4,0,1.27,0,12.86,0,12.97,77,12.89
59.2,11.7,0,1.27,95,12.86,0,12.97,26,12.89
10.0,12.3,5,6.42,86,12.86,0,12.97,72,12.89
43.9,15.5,0,10.14,63,12.86,49,12.97,94,12.89
26.3,13.9,0,10.14,91,12.86,93,12.97,0,12.89
12.6,13.4,0,10.14,0,12.86,73,12.97,0,12.89
83.9,13.7,84,12.87,0,12.86,0,12.97,0,12.89
14.2,13.4,76,12.87,0,12.86,0,12.97,74,12.89
52.7,14.8,71,12.87,72,12.86,0,12.97,55,12.89
17.8,13.9,65,12.87,75,12.86,80,12.97,84,12.89
61.0,13.4,0,12.87,92,12.86,89,12.97,19,12.89
57.0,14.1,0,12.87,89,12.86,0,12.97,83,12.89
57.8,14.7,0,12.87,0,12.86,0,12.97,70,12.89
21.5,14.5,84,12.87,0,12.86,0,12.97,77,12.89
58.1,14.8,91,12.87,0,12.86,43,12.97,0,12.89
15.3,13.6,80,12.87,79,12.86,62,12.97,0,12.89
58.5,13.9,80,12.87,60,12.86,76,12.97,0,12.89
25.7,14.1,72,12.87,75,12.86,0,1.27,83,12.89
54.5,12.3,0,12.87,85,12.86,0,1.27,81,12.89
14.0,11.5,0,12.87,1,1.27,0,1.27,76,12.89
18.1,9.9,0,12.87,0,1.27,0,1.31,86,12.89
57.9,10.4,78,12.87,0,1.27,4,7.7,57,12.89
57.0,12.3,74,12.87,0,1.27,0,9.87,86,12.89
58.8,12.3,72,12.87,0,1.31,0,9.87,77,12.89
11.5,14.4,94,12.87,4,7.76,15,12.73,89,12.89
34.5,13.9,0,12.87,6,9.33,67,12.73,0,12.89
98.0,13.0,0,12.87,3,9.33,79,12.73,0,12.89
90.2,13.3,0,12.87,3,9.33,70,12.73,74,12.89
30.4,13.4,66,12.87,7,9.33,87,12.73,72,12.89
32.4,13.7,35,12.87,4,9.33,78,12.73,78,12.89
77.6,13.4,20,12.87,6,9.33,75,12.73,74,12.89
51.3,13.6,82,12.87,9,9.33,68,12.73,65,12.89
50.7,15.0,77,12.87,6,9.34,67,12.73,58,12.89
88.2,13.4,0,12.87,4,9.34,78,12.73,79,12.89
84.8,15.0,0,12.87,4,9.34,67,12.73,72,12.89
11.4,15.1,0,12.87,4,9.34,78,12.73,32,1.27
19.9,12.2,73,12.87,4,9.34,83,12.73,0,1.27
15.4,10.4,81,12.87,0,1.27,80,12.73,0,1.27
22.6,9.9,86,12.87,0,1.27,71,12.73,0,1.27
14.9,10.1,72,12.87,0,1.27,88,12.73,1,1.27
57.5,11.1,90,12.87,0,1.27,92,12.73,4,6.94
5.7,12.5,0,12.87,0,1.27,93,12.73,0,10.15
5.9,12.3,0,12.87,0,1.27,77,12.73,0,10.15
73.9,13.1,65,12.87,0,1.27,88,12.73,0,13.02
46.9,14.0,75,12.87,0,1.27,93,12.73,84,13.02
43.0,16.2,90,12.87,0,1.27,73,12.73,61,13.02
19.6,16.5,77,12.87,5,6.82,18,12.73,0,13.04
8.4,15.9,89,12.87,6,16.52,60,12.73,0,13.04
5.6,14.4,0,12.87,96,16.52,64,12.73,0,13.04
72.1,15.1,0,12.87,91,16.52,89,12.73,96,13.04
59.3,16.0,0,12.87,82,16.52,65,12.73,89,13.04
