cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2
21.1,5.6,0,1.27,0,1.27,0,1.27
91.3,6.1,0,1.27,0,1.27,1,2.37
29.9,6.6,3,4.01,3,5.58,3,7.01
81.3,9.5,2,8.67,0,10.77,0,10.77
46.9,10.2,0,10.77,0,10.77,0,10.77
55.1,10.7,0,10.77,0,10.77,0,10.77
95.5,11.2,0,10.77,0,10.77,0,11.89
48.7,11.6,0,12.79,98,12.79,99,12.79
89.0,11.7,99,12.79,95,12.79,97,12.79
51.6,11.8,98,12.79,99,12.79,98,12.79
95.7,11.9,97,12.79,98,12.79,99,12.79
52.3,11.8,99,12.79,98,12.79,96,12.79
94.8,11.9,98,12.79,99,12.79,98,12.79
50.8,11.6,97,12.79,97,12.79,97,12.79
96.7,11.6,98,12.79,99,12.79,98,12.79
58.1,11.7,96,12.79,98,12.79,98,12.79
96.4,11.7,99,12.79,98,12.79,98,12.79
26.5,11.7,99,12.79,97,12.79,98,12.79
93.6,11.6,97,12.79,98,12.79,97,12.79
25.5,11.8,98,12.79,96,12.79,97,12.79
62.1,11.8,98,12.79,97,12.79,98,12.79
28.6,11.8,98,12.79,97,12.79,96,12.79
52.8,11.6,98,12.79,96,12.79,98,12.79
89.5,11.6,98,12.79,97,12.79,99,12.79
60.4,11.6,96,12.79,98,12.79,98,12.79
91.1,11.8,99,12.79,98,12.79,97,12.79
58.1,11.8,95,12.79,99,12.79,97,12.79
93.1,11.7,98,12.79,96,12.79,99,12.79
54.6,11.7,98,12.79,99,12.79,97,12.79
93.7,11.6,97,12.79,99,12.79,99,12.79
59.3,11.7,98,12.79,97,12.79,99,12.79
95.9,11.8,98,12.79,98,12.79,98,12.79
57.4,12.0,98,12.79,98,12.79,98,12.79
95.1,12.1,96,12.79,99,12.79,98,12.79
54.2,12.0,97,12.79,98,12.79,99,12.79
94.4,11.7,97,12.79,98,12.79,98,12.79
55.3,11.8,98,12.79,98,12.79,96,12.79
94.8,11.7,98,12.79,97,12.79,98,12.79
60.1,11.9,99,12.79,98,12.79,99,12.79
93.4,11.6,98,12.79,97,12.79,98,12.79
53.1,11.6,98,12.79,99,12.79,97,12.79
94.4,11.6,98,12.79,97,12.79,98,12.79
60.3,11.7,98,12.79,98,12.79,98,12.79
93.4,11.7,98,12.79,99,12.79,99,12.79
58.2,11.6,99,12.79,99,12.79,98,12.79
94.0,11.7,98,12.79,98,12.79,99,12.79
58.2,11.6,99,12.79,96,12.79,98,12.79
92.9,11.6,98,12.79,98,12.79,99,12.79
57.6,11.7,99,12.79,0,12.79,0,12.79
89.4,10.3,0,12.79,0,12.79,0,12.79
58.5,10.6,0,12.79,0,12.79,0,12.79
94.6,11.1,0,12.79,0,12.79,0,12.79
38.2,11.6,62,12.79,96,12.79,99,12.79
44.9,11.6,96,12.79,98,12.79,97,12.79
58.0,11.7,99,12.79,97,12.79,99,12.79
91.8,11.7,97,12.79,98,12.79,98,12.79
54.1,11.7,98,12.79,99,12.79,98,12.79
93.2,11.8,96,12.79,97,12.79,98,12.79
97.0,11.8,98,12.79,97,12.79,99,12.79
98.6,11.8,98,12.79,97,12.79,99,12.79
45.5,11.9,98,12.79,98,12.79,97,12.79
56.4,11.9,98,12.79,96,12.79,98,12.79
92.3,11.7,97,12.79,99,12.79,98,12.79
