7.9,15.4,18,37.02,0,2.67,0,2.67,0,2.67
14.7,15.8,19,37.02,0,2.67,0,2.67,0,2.67
14.2,16.1,19,37.02,0,2.67,0,2.67,0,2.67
11.8,16.3,19,37.02,0,2.81,0,4.85,0,2.67
12.4,18.7,14,37.02,3,6.98,2,6.98,0,2.67
11.6,19.4,18,37.02,0,6.98,0,6.98,0,2.67
15.1,19.7,19,37.02,0,6.98,0,6.98,0,2.67
15.3,20.2,18,37.02,0,6.98,0,6.98,0,2.67
14.8,20.5,19,37.02,0,6.98,0,6.98,0,2.67
12.2,20.9,17,37.02,0,6.98,0,6.98,0,2.67
11.8,21.3,18,37.02,0,6.98,0,6.98,0,2.67
13.3,21.7,17,37.02,0,6.98,0,6.98,0,2.67
15.2,22.1,18,37.02,0,6.98,0,6.98,0,2.67
14.3,22.4,18,37.02,0,7.12,0,7.12,0,2.67
11.5,24.3,18,37.02,0,9.03,9,9.03,0,2.67
16.3,24.8,17,37.02,65,9.03,62,9.03,0,2.67
15.5,24.8,18,37.02,67,9.03,59,9.03,0,2.67
19.5,24.8,18,37.02,68,9.03,59,9.03,0,2.67
18.4,24.8,17,37.02,66,9.03,59,9.03,0,2.67
19.0,24.8,17,37.02,65,9.03,59,9.03,0,2.67
19.5,24.8,18,37.02,65,9.03,63,9.03,0,2.67
16.7,24.8,18,37.02,62,9.03,65,9.03,0,2.67
15.6,24.8,18,37.02,68,9.03,59,9.03,0,2.67
16.9,24.8,17,37.02,65,9.03,64,9.03,0,2.67
19.1,24.8,17,37.02,64,9.03,62,9.03,0,2.67
20.4,24.8,17,37.02,64,9.03,61,9.03,0,2.67
20.4,24.8,17,37.02,65,9.03,62,9.03,0,2.67
17.1,24.8,18,37.02,64,9.03,63,9.03,0,2.67
15.9,24.8,17,37.02,64,9.03,61,9.03,0,2.67
15.9,24.8,17,37.02,64,9.03,60,9.03,0,2.67
18.6,24.8,17,37.02,65,9.03,62,9.03,0,2.67
19.2,24.8,17,37.02,68,9.03,59,9.03,0,2.67
19.8,24.8,17,37.02,67,9.03,58,9.03,0,2.67
18.8,24.8,17,37.02,64,9.03,61,9.03,0,2.67
15.6,24.8,18,37.02,69,9.03,61,9.03,0,2.67
18.4,24.8,18,37.02,65,9.03,62,9.03,0,2.67
15.9,24.8,18,37.02,68,9.03,60,9.03,0,2.67
21.0,24.8,17,37.02,65,9.03,61,9.03,0,2.67
19.1,24.8,17,37.02,64,9.03,64,9.03,0,2.67
17.1,24.8,17,37.02,65,9.03,60,9.03,0,2.67
19.0,24.8,17,37.02,65,9.03,62,9.03,0,2.67
16.5,24.8,18,37.02,65,9.03,65,9.03,0,2.67
16.6,24.7,18,37.02,67,9.03,61,9.03,0,2.67
15.6,24.8,17,37.02,66,9.03,63,9.03,0,2.67
19.2,24.8,17,37.02,62,9.03,62,9.03,0,2.67
17.4,24.8,18,37.02,65,9.03,56,9.03,0,2.67
19.0,24.8,17,37.02,65,9.03,62,9.03,0,2.67
16.3,24.8,18,37.02,62,9.03,66,9.03,0,2.67
14.6,24.8,18,37.02,66,9.03,59,9.03,0,2.67
16.9,24.8,17,37.02,67,9.03,62,9.03,0,2.67
21.0,24.8,17,37.02,65,9.03,58,9.03,0,2.67
18.3,24.8,18,37.02,71,9.03,51,9.03,0,2.67
19.4,24.8,18,37.02,67,9.03,59,9.03,0,2.67
14.4,21.5,17,37.02,0,9.03,0,9.03,0,2.67
12.2,21.9,18,37.02,0,9.03,0,9.03,0,2.67
21.5,22.2,17,37.02,0,9.03,0,9.03,0,2.67
16.0,22.7,18,37.02,0,9.03,0,9.03,0,2.67
14.4,22.9,18,37.02,0,9.03,0,9.03,0,2.67
15.9,23.3,18,37.02,0,9.03,0,9.03,0,2.67
