cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1
19.3,3.9,0,1.27,0,1.27
24.9,4.2,0,1.27,0,1.27
22.7,4.5,4,3.78,2,5.02
20.8,5.7,3,7.08,4,10.77
24.3,6.8,0,10.77,0,10.77
21.2,7.1,0,10.77,0,10.77
22.7,7.3,0,10.77,0,10.77
16.7,7.6,0,10.77,0,10.77
35.0,7.9,0,10.77,100,12.79
9.6,8.0,97,12.79,98,12.79
15.3,8.0,98,12.79,99,12.79
23.9,8.0,97,12.79,98,12.79
24.0,8.0,99,12.79,99,12.79
26.1,8.0,99,12.79,99,12.79
22.6,8.0,99,12.79,98,12.79
24.9,8.0,99,12.79,98,12.79
25.5,8.0,99,12.79,98,12.79
23.5,8.0,99,12.79,98,12.79
23.5,8.0,97,12.79,98,12.79
25.4,8.0,98,12.79,98,12.79
26.6,8.0,99,12.79,98,12.79
22.6,8.0,99,12.79,98,12.79
24.8,8.0,99,12.79,98,12.79
21.5,8.0,99,12.79,98,12.79
22.7,8.0,99,12.79,98,12.79
24.1,8.0,99,12.79,98,12.79
22.5,8.0,99,12.79,98,12.79
24.8,8.0,96,12.79,97,12.79
24.4,8.0,96,12.79,98,12.79
22.7,8.0,95,12.79,98,12.79
25.0,8.0,97,12.79,97,12.79
25.3,8.0,98,12.79,99,12.79
25.8,8.0,99,12.79,99,12.79
24.5,8.0,98,12.79,99,12.79
18.7,8.0,98,12.79,99,12.79
14.2,8.0,99,12.79,98,12.79
24.6,8.1,98,12.79,98,12.79
19.3,8.4,99,12.79,98,12.79
26.6,9.0,99,12.79,98,12.79
23.7,9.1,99,12.79,98,12.79
25.8,9.1,99,12.79,98,12.79
53.5,9.4,98,12.79,98,12.79
58.3,9.4,98,12.79,98,12.79
86.9,9.5,98,12.79,97,12.79
59.0,9.7,97,12.79,92,12.79
25.9,9.8,97,12.79,98,12.79
92.4,9.9,96,12.79,97,12.79
55.4,9.7,95,12.79,97,12.79
21.2,9.7,98,12.79,97,12.79
92.4,9.8,97,12.79,94,12.79
56.6,9.8,96,12.79,97,12.79
94.8,9.7,95,12.79,98,12.79
91.2,9.8,97,12.79,98,12.79
67.2,9.8,99,12.79,98,12.79
40.1,9.8,97,12.79,97,12.79
96.6,9.8,96,12.79,99,12.79
55.7,9.8,98,12.79,99,12.79
66.7,9.8,98,12.79,98,12.79
88.1,9.8,99,12.79,97,12.79
50.6,9.7,99,12.79,96,12.79
92.5,9.8,98,12.79,97,12.79
93.8,9.7,97,12.79,95,12.79
60.2,9.8,98,12.79,94,12.79
96.1,9.8,97,12.79,98,12.79
47.6,9.7,99,12.79,97,12.79
24.7,9.7,99,12.79,96,12.79
94.5,9.8,97,12.79,98,12.79
52.9,9.8,98,12.79,97,12.79
31.1,9.8,0,12.79,0,12.79
93.5,8.8,0,12.79,0,12.79
93.2,9.1,0,12.79,0,12.79
24.4,9.2,0,12.79,0,12.79
96.8,9.4,0,12.79,0,12.79
93.0,9.7,0,12.79,97,12.79
52.5,9.8,98,12.79,96,12.79
94.5,9.8,95,12.79,96,12.79
39.8,9.8,98,12.79,99,12.79
51.8,9.8,99,12.79,98,12.79
96.9,9.8,99,12.79,97,12.79
56.1,9.7,98,12.79,95,12.79
25.3,9.8,98,12.79,99,12.79
94.4,9.8,96,12.79,97,12.79
56.0,9.8,99,12.79,97,12.79
25.3,9.8,98,12.79,98,12.79
95.1,9.8,96,12.79,97,12.79
59.8,9.8,98,12.79,98,12.79
91.3,9.8,95,12.79,97,12.79
94.6,9.8,97,12.79,97,12.79
55.6,9.8,98,12.79,93,12.79
91.7,9.7,98,12.79,97,12.79
48.7,9.8,99,12.79,95,12.79
37.3,9.8,99,12.79,98,12.79
92.0,9.8,98,12.79,98,12.79
51.7,9.8,98,12.79,98,12.79
26.0,9.8,98,12.79,98,12.79
88.0,9.8,98,12.79,98,12.79
54.0,9.8,95,12.79,98,12.79
26.1,9.8,98,12.79,99,12.79
91.7,9.8,98,12.79,98,12.79
55.9,9.8,98,12.79,99,12.79
94.9,9.8,97,12.79,97,12.79
36.5,9.7,98,12.79,98,12.79
53.5,9.8,98,12.79,98,12.79
95.1,9.8,98,12.79,99,12.79
56.0,9.8,94,12.79,99,12.79
27.5,9.8,97,12.79,96,12.79
89.5,9.8,97,12.79,98,12.79
47.9,9.8,94,12.79,98,12.79
26.0,9.8,96,12.79,97,12.79
95.6,9.8,97,12.79,95,12.79
58.3,9.8,95,12.79,97,12.79
42.7,9.8,98,12.79,99,12.79
91.3,9.8,97,12.79,98,12.79
56.9,9.7,97,12.79,96,12.79
93.6,9.8,97,12.79,94,12.79
30.6,9.8,98,12.79,98,12.79
59.0,9.8,99,12.79,98,12.79
95.5,9.7,97,12.79,96,12.79
55.3,9.8,97,12.79,99,12.79
23.6,9.8,96,12.79,97,12.79
96.2,9.8,97,12.79,95,12.79
60.2,9.7,97,12.79,98,12.79
24.6,9.8,98,12.79,97,12.79
88.6,9.8,97,12.79,95,12.79
99.0,9.8,95,12.79,97,12.79
99.2,9.8,96,12.79,99,12.79
64.0,9.8,98,12.79,98,12.79
65.5,9.8,98,12.79,96,12.79
94.1,9.8,96,12.79,97,12.79
96.6,9.7,97,12.79,97,12.79
99.6,9.7,84,12.79,97,12.79
45.1,9.7,97,12.79,97,12.79
61.0,9.8,98,12.79,98,12.79
90.6,9.8,0,12.79,0,12.79
80.9,8.8,0,12.79,0,12.79
55.9,8.9,0,12.79,0,12.79
96.3,9.1,0,12.79,0,12.79
93.2,9.5,0,12.79,0,12.79
61.0,9.7,0,12.79,7,12.79
26.6,9.8,98,12.79,98,12.79
92.0,9.8,97,12.79,98,12.79
55.3,9.8,97,12.79,99,12.79
93.6,9.8,97,12.79,98,12.79
70.3,9.8,98,12.79,96,12.79
56.0,9.8,98,12.79,97,12.79
94.8,9.7,98,12.79,93,12.79
51.5,9.8,96,12.79,98,12.79
54.5,9.7,98,12.79,97,12.79
93.7,9.8,96,12.79,97,12.79
59.0,9.7,95,12.79,97,12.79
24.5,9.8,98,12.79,96,12.79
86.0,9.8,96,12.79,97,12.79
56.3,9.8,95,12.79,98,12.79
92.1,9.8,97,12.79,95,12.79
39.6,9.8,96,12.79,96,12.79
59.1,9.8,98,12.79,97,12.79
88.5,9.8,96,12.79,97,12.79
52.9,9.8,99,12.79,99,12.79
25.7,9.8,98,12.79,96,12.79
96.5,9.8,96,12.79,97,12.79
56.9,9.8,97,12.79,98,12.79
87.3,9.8,97,12.79,98,12.79
53.8,9.8,95,12.79,96,12.79
46.4,9.7,98,12.79,96,12.79
85.5,9.7,96,12.79,96,12.79
53.2,9.6,97,12.79,98,12.79
31.8,9.6,99,12.79,98,12.79
93.7,9.5,97,12.79,97,12.79
58.1,9.6,97,12.79,98,12.79
27.4,9.6,96,12.79,97,12.79
93.1,9.6,96,12.79,98,12.79
58.3,9.6,98,12.79,97,12.79
92.9,9.5,98,12.79,97,12.79
49.7,9.6,98,12.79,97,12.79
53.2,9.6,99,12.79,95,12.79
95.5,9.6,95,12.79,99,12.79
34.9,9.6,98,12.79,97,12.79
54.1,9.6,99,12.79,97,12.79
93.1,9.6,97,12.79,97,12.79
55.2,9.6,95,12.79,98,12.79
24.8,9.6,96,12.79,97,12.79
95.7,9.6,97,12.79,98,12.79
57.2,9.7,99,12.79,98,12.79
94.7,9.7,95,12.79,96,12.79
89.9,9.7,97,12.79,98,12.79
57.6,9.7,96,12.79,97,12.79
92.7,9.6,97,12.79,97,12.79
42.8,9.6,98,12.79,98,12.79
52.6,9.6,98,12.79,97,12.79
91.5,9.6,95,12.79,97,12.79
54.8,9.5,98,12.79,98,12.79
27.6,9.5,98,12.79,98,12.79
89.2,9.6,97,12.79,97,12.79
58.7,9.6,97,12.79,97,12.79
94.2,9.6,97,12.79,96,12.79
36.5,9.5,98,12.79,98,12.79
57.2,9.6,99,12.79,96,12.79
93.7,9.6,97,12.79,0,12.79
49.7,8.6,0,12.79,0,12.79
77.7,8.9,0,12.79,0,12.79
94.1,9.2,0,12.79,0,12.79
95.9,9.4,0,12.79,0,12.79
52.6,9.6,0,12.79,0,12.79
95.2,9.8,98,12.79,97,12.79
95.7,9.8,96,12.79,98,12.79
54.8,9.5,98,12.79,98,12.79
95.5,9.6,96,12.79,99,12.79
88.9,9.6,97,12.79,97,12.79
56.3,9.6,98,12.79,99,12.79
92.6,9.6,97,12.79,97,12.79
49.7,9.5,98,12.79,97,12.79
52.9,9.5,98,12.79,98,12.79
88.8,9.6,97,12.79,96,12.79
51.3,9.6,98,12.79,98,12.79
23.7,9.6,99,12.79,97,12.79
93.8,9.6,97,12.79,97,12.79
55.7,9.5,98,12.79,96,12.79
88.1,9.6,97,12.79,99,12.79
89.8,9.5,97,12.79,98,12.79
59.3,9.6,97,12.79,98,12.79
94.4,9.6,98,12.79,97,12.79
36.4,9.5,97,12.79,98,12.79
58.7,9.5,99,12.79,97,12.79
