cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
2.5,5.8,0,1.27,0,1.27,0,1.27,0,1.27
50.0,5.7,0,1.27,0,1.27,0,1.27,0,1.27
1.0,6.3,0,1.27,0,1.27,0,1.27,0,1.27
6.7,6.3,0,1.27,0,1.27,0,1.27,0,1.27
78.0,9.2,0,1.27,0,1.27,0,1.27,0,2.29
66.8,10.1,0,1.27,4,3.94,4,6.81,3,8.0
40.9,14.6,3,4.41,0,10.14,5,13.01,2,13.78
35.8,16.8,0,10.52,0,10.14,5,19.95,0,19.81
63.0,19.7,0,10.52,0,10.14,0,25.52,0,26.35
96.2,23.0,0,10.52,9,14.85,5,30.67,4,32.05
63.1,27.4,0,10.52,8,21.04,3,33.63,24,33.74
62.5,26.6,0,10.52,0,21.04,6,33.74,3,33.74
42.4,28.8,0,10.52,0,21.04,4,33.74,6,33.74
92.3,30.0,3,15.29,0,23.07,2,33.74,2,33.74
43.6,29.7,0,18.76,4,26.91,11,33.74,6,33.74
63.1,31.2,2,30.43,0,30.92,15,33.74,15,33.74
91.1,31.9,0,34.57,0,30.92,11,33.74,7,33.74
72.5,32.6,0,34.57,0,30.92,8,33.74,6,33.74
65.0,33.0,0,34.57,0,30.92,5,33.74,4,33.74
73.2,33.9,2,40.52,0,30.92,5,33.74,5,33.74
93.1,35.3,0,45.33,0,30.92,5,33.74,14,33.74
93.4,35.8,0,45.33,2,33.31,2,33.74,5,33.74
32.7,36.8,0,45.33,4,39.16,3,33.74,3,33.74
32.7,37.0,97,49.31,54,52.81,7,33.74,4,33.74
91.8,37.0,72,49.31,99,52.81,5,33.74,24,33.74
98.5,37.2,99,49.31,87,52.81,15,33.74,13,33.74
27.2,37.0,95,49.31,51,52.81,6,33.74,3,33.74
93.2,36.9,99,49.31,44,52.81,9,33.74,4,33.74
41.2,37.0,99,49.31,51,52.81,3,33.74,2,33.74
75.7,37.0,98,49.31,74,52.81,2,33.74,1,33.74
95.7,37.0,89,49.31,98,52.81,8,33.74,4,33.74
60.7,35.5,96,49.31,46,52.81,9,25.57,3,33.74
74.3,35.3,97,49.31,92,52.81,3,25.57,23,25.67
32.2,33.8,95,49.31,92,52.81,0,25.57,28,25.67
93.2,33.8,74,49.31,79,52.81,31,25.5,30,17.51
28.4,30.7,94,49.31,95,52.81,32,17.5,33,17.51
23.5,30.5,98,49.31,86,52.81,36,17.5,29,17.51
57.1,30.5,96,49.31,95,52.81,34,17.5,32,17.51
15.4,30.1,91,49.31,92,52.81,32,17.5,32,17.51
51.3,30.0,58,49.31,99,52.81,35,17.5,30,17.51
16.6,31.6,98,49.31,99,52.81,35,17.5,26,17.51
44.9,30.6,99,49.31,0,52.85,32,17.5,27,17.51
63.6,30.4,98,49.31,0,52.85,33,17.5,7,17.51
65.8,30.7,98,49.31,0,52.85,37,17.5,13,17.51
62.3,30.3,97,49.31,0,52.85,33,17.5,33,17.51
14.4,29.6,98,49.31,0,52.85,31,17.5,26,17.51
64.0,30.9,97,49.31,94,52.85,27,17.5,26,17.51
64.5,30.7,98,49.31,93,52.85,31,17.5,20,9.39
63.0,29.1,62,49.31,99,52.85,32,17.5,32,9.39
33.8,28.5,0,49.31,98,52.85,25,17.5,33,9.39
63.0,27.5,0,49.31,90,52.85,30,9.38,20,9.39
13.5,27.3,97,49.31,97,52.85,31,9.38,2,9.39
15.6,23.9,95,49.31,87,32.99,35,9.38,17,9.39
53.7,24.4,95,49.31,95,32.99,31,9.38,30,9.39
61.5,23.1,75,34.06,99,32.99,31,9.38,32,9.39
25.5,22.0,91,34.06,80,32.99,33,9.38,30,9.39
