0.9,3.2,0,1.29,0,1.29
0.0,3.2,0,1.29,0,1.29
9.9,3.2,0,1.29,0,1.29
76.3,3.5,0,1.29,0,1.29
10.7,3.6,0,1.29,0,1.29
9.0,3.7,0,1.29,0,1.29
9.8,3.8,0,1.29,0,1.29
7.7,3.9,0,1.29,0,1.29
0.5,3.9,0,1.29,0,1.29
0.9,3.9,0,1.29,0,1.29
9.0,4.3,0,1.29,0,1.29
9.4,5.1,0,1.29,0,1.29
9.0,5.7,0,1.29,0,1.29
9.0,5.7,0,2.5,3,2.78
9.0,6.8,4,3.33,4,3.68
9.0,8.4,3,6.17,16,6.36
9.5,7.3,3,6.4,0,12.73
14.1,7.7,100,12.73,100,12.73
53.8,8.0,100,12.73,100,12.73
13.2,8.1,100,12.73,100,12.73
14.0,8.2,100,12.73,100,12.73
14.3,8.3,100,12.73,100,12.73
9.9,8.4,52,12.73,0,12.73
9.8,8.6,0,12.73,0,12.73
9.0,8.8,0,12.73,0,12.73
85.2,8.9,0,12.73,0,12.73
9.5,9.1,0,12.73,0,12.73
9.5,9.2,0,12.73,0,12.73
10.0,9.3,0,12.73,0,12.73
98.2,9.5,0,12.73,0,12.73
8.6,9.7,0,12.73,0,12.73
9.0,9.8,0,12.73,0,12.73
9.5,9.9,0,12.73,0,12.73
46.5,10.1,0,12.73,0,12.73
25.8,10.3,0,12.73,0,12.73
9.8,10.5,0,12.73,0,12.73
9.0,10.6,0,12.73,0,12.73
9.0,10.7,0,12.73,0,12.73
9.0,10.8,0,12.81,0,12.94
9.8,11.8,3,13.68,4,13.94
9.4,13.5,2,14.41,2,14.78
9.0,14.7,2,15.14,4,15.75
9.0,16.3,3,15.93,4,18.41
9.4,17.6,3,18.44,51,18.55
19.2,18.0,21,18.55,76,18.55
23.1,18.0,78,18.55,78,18.55
21.6,18.0,75,18.55,78,18.55
22.6,18.0,79,18.55,72,18.55
22.3,18.0,76,18.55,75,18.55
20.5,18.0,79,18.55,66,18.55
19.0,18.0,67,18.55,69,18.55
19.8,18.0,65,18.55,72,18.55
21.0,18.0,72,18.55,78,18.55
19.2,18.0,77,18.55,77,18.55
19.2,18.0,78,18.55,74,18.55
19.5,18.0,74,18.55,75,18.55
20.6,18.0,79,18.55,78,18.55
19.8,18.0,78,18.55,77,18.55
20.6,18.0,80,18.55,79,18.55
20.5,18.0,75,18.55,74,18.55
20.4,18.0,77,18.55,79,18.55
19.0,18.0,75,18.55,78,18.55
19.5,18.0,78,18.55,75,18.55
20.7,18.0,70,18.55,75,18.55
22.7,18.0,70,18.55,78,18.55
20.4,18.0,77,18.55,73,18.55
24.0,18.0,72,18.55,75,18.55
19.9,18.0,78,18.55,79,18.55
19.9,18.0,73,18.55,75,18.55
17.9,18.0,77,18.55,80,18.55
20.0,18.0,78,18.55,75,18.55
21.2,18.0,78,18.55,75,18.55
19.4,18.0,81,18.55,75,18.55
20.2,18.0,73,18.55,79,18.55
20.5,18.0,75,18.55,79,18.55
21.5,18.0,79,18.55,75,18.55
20.3,18.0,76,18.55,80,18.55
20.4,18.0,79,18.55,74,18.55
19.6,18.0,76,18.55,73,18.55
20.9,18.0,81,18.55,81,18.55
21.6,18.0,80,18.55,69,20.19
10.0,18.0,77,20.19,100,20.19
14.0,18.0,100,20.19,100,20.19
14.9,18.0,100,20.19,100,20.19
13.6,18.0,100,20.19,100,20.19
16.3,18.0,100,20.19,100,20.19
14.2,18.0,100,20.19,100,20.19
14.2,18.0,100,20.19,100,20.19
15.0,18.0,100,20.19,100,20.19
13.3,18.0,100,20.19,100,20.19
14.9,18.0,100,20.19,100,20.19
14.1,18.0,100,20.19,100,20.19
15.0,18.0,100,20.19,100,20.19
14.6,18.0,100,20.19,100,20.19
13.7,18.0,100,20.19,100,20.19
15.8,18.0,100,20.19,100,20.19
14.1,18.0,100,20.19,100,20.19
15.8,18.0,100,20.19,100,20.19
13.8,18.0,100,20.19,100,20.19
13.4,18.0,100,20.19,100,20.19
25.3,18.0,100,20.19,0,20.19
36.5,18.0,0,20.19,0,20.19
9.0,15.2,0,20.19,0,20.19
9.5,15.0,0,20.19,0,20.19
9.9,15.2,0,20.19,0,20.19
23.9,15.4,0,20.19,0,20.19
9.0,15.5,0,20.19,0,20.19
24.9,15.6,0,20.19,0,20.19
8.7,15.8,0,20.19,0,20.19
13.0,15.9,0,20.19,0,20.19
9.0,16.1,0,20.19,0,20.19
9.4,16.2,0,20.19,0,20.19
8.6,16.3,0,20.19,0,20.19
10.5,16.5,0,20.19,0,20.19
9.9,16.7,0,20.19,0,20.19
10.0,16.9,0,20.19,0,20.19
73.7,17.0,0,20.19,0,20.19
9.4,17.1,0,20.19,0,20.19
9.0,17.3,0,20.19,0,20.19
9.5,17.4,0,20.19,0,20.19
87.8,17.6,0,20.19,0,20.19
9.8,17.8,0,20.19,0,20.19
9.5,17.9,0,20.19,0,20.19
31.2,18.0,0,20.19,100,20.19
14.4,18.0,0,20.19,78,20.19
20.6,18.1,76,20.19,80,20.19
21.1,18.1,77,20.19,73,20.19
19.2,18.1,77,20.19,73,20.19
20.4,18.1,73,20.19,73,20.19
20.6,18.1,76,20.19,77,20.19
19.8,18.1,73,20.19,76,20.19
20.7,18.1,75,20.19,77,20.19
22.0,18.1,76,20.19,79,20.19
20.6,18.1,77,20.19,72,20.19
20.5,18.1,75,20.19,74,20.19
20.3,18.1,74,20.19,76,20.19
20.8,18.1,77,20.19,76,20.19
22.4,18.1,77,20.19,76,20.19
21.1,18.1,81,20.19,76,20.19
19.0,18.1,75,20.19,77,20.19
20.3,18.1,78,20.19,80,20.19
20.6,18.1,75,20.19,80,20.19
19.9,18.1,75,20.19,72,20.19
19.4,18.1,76,20.19,74,20.19
20.7,18.1,75,20.19,77,20.19
20.2,18.1,72,20.19,75,20.19
19.9,18.1,77,20.19,76,20.19
21.2,18.1,76,20.19,75,20.19
20.3,18.1,72,20.19,73,20.19
19.4,18.1,83,20.19,76,20.19
20.4,18.1,80,20.19,77,20.19
20.1,18.1,73,20.19,72,20.19
21.0,18.1,78,20.19,79,20.19
21.6,18.1,78,20.19,77,20.19
20.2,18.1,75,20.19,71,20.19
22.1,18.1,77,20.19,78,20.19
19.4,18.1,74,20.19,73,20.19
19.8,18.1,79,20.19,77,20.19
20.4,18.1,82,20.19,78,20.19
21.0,18.1,72,20.19,76,20.19
20.4,18.1,80,20.19,72,20.19
21.1,18.1,78,20.19,79,20.19
19.2,18.1,100,20.19,100,20.19
18.1,18.1,100,20.19,100,20.19
18.0,18.1,100,20.19,100,20.19
19.1,18.1,100,20.19,100,20.19
19.4,18.1,100,20.19,100,20.19
19.1,18.1,100,20.19,100,20.19
19.4,18.1,100,20.19,100,20.19
18.6,18.1,100,20.19,100,20.19
19.6,18.1,100,20.19,100,20.19
18.4,18.1,100,20.19,100,20.19
19.0,18.1,100,20.19,100,20.19
17.9,18.1,100,20.19,100,20.19
19.3,18.1,100,20.19,100,20.19
18.6,18.1,100,20.19,100,20.19
19.7,18.1,100,20.19,100,20.19
18.6,18.1,100,20.19,100,20.19
18.3,18.1,100,20.19,100,20.19
20.3,18.1,100,20.19,100,20.19
19.4,18.1,100,20.19,100,20.19
18.6,18.1,100,20.19,100,20.19
19.1,18.1,100,20.19,100,20.19
18.7,18.1,100,20.19,100,20.19
18.7,18.1,100,20.19,100,20.19
18.6,18.1,100,20.19,100,20.19
36.8,18.1,97,20.19,0,20.19
36.2,18.1,0,20.19,0,20.19
10.8,14.9,0,20.19,0,20.19
29.6,15.1,0,20.19,0,20.19
9.0,15.3,0,20.19,0,20.19
9.4,15.4,0,20.19,0,20.19
9.0,15.5,0,20.19,0,20.19
9.5,15.6,0,20.19,0,20.19
9.0,15.8,0,20.19,0,20.19
17.5,16.0,0,20.19,0,20.19
87.4,16.1,0,20.19,0,20.19
9.0,16.2,0,20.19,0,20.19
9.9,16.3,0,20.19,0,20.19
24.7,16.4,0,20.19,0,20.19
9.0,16.6,0,20.19,0,20.19
9.5,16.8,0,20.19,0,20.19
89.5,16.9,0,20.19,0,20.19
9.0,17.0,0,20.19,0,20.19
9.5,17.1,0,20.19,0,20.19
9.5,17.3,0,20.19,0,20.19
53.0,17.5,0,20.19,0,20.19
9.9,17.6,0,20.19,0,20.19
93.7,17.8,0,20.19,0,20.19
9.5,17.9,0,20.19,0,20.19
9.8,18.0,0,20.19,34,20.19
19.1,18.1,55,20.19,73,20.19
19.5,18.1,77,20.19,73,20.19
19.8,18.1,75,20.19,77,20.19
21.7,18.1,75,20.19,77,20.19
24.3,18.1,74,20.19,76,20.19
20.5,18.1,77,20.19,74,20.19
19.4,18.0,74,20.19,75,20.19
22.6,18.0,79,20.19,80,20.19
21.1,18.0,73,20.19,71,20.19
20.0,18.0,75,20.19,78,20.19
21.3,18.0,76,20.19,75,20.19
19.4,18.0,72,20.19,77,20.19
19.9,18.0,74,20.19,77,20.19
20.3,18.0,77,20.19,72,20.19
20.7,18.0,77,20.19,77,20.19
20.0,18.0,75,20.19,73,20.19
19.9,18.0,74,20.19,77,20.19
20.3,18.0,79,20.19,76,20.19
19.9,18.0,73,20.19,76,20.19
19.7,18.0,79,20.19,75,20.19
20.2,18.0,77,20.19,74,20.19
19.9,18.0,78,20.19,73,20.19
22.7,18.0,75,20.19,73,20.19
23.8,18.1,78,20.19,76,20.19
21.3,18.1,72,20.19,76,20.19
19.2,18.1,79,20.19,74,20.19
19.6,18.1,77,20.19,77,20.19
21.7,18.1,75,20.19,77,20.19
19.3,18.1,81,20.19,75,20.19
23.2,18.1,74,20.19,75,20.19
20.3,18.1,78,20.19,75,20.19
21.3,18.1,79,20.19,74,20.19
19.5,18.1,74,20.19,74,20.19
19.1,18.1,74,20.19,77,20.19
20.1,18.1,77,20.19,74,20.19
19.4,18.1,75,20.19,76,20.19
19.6,18.1,76,20.19,75,20.19
20.0,18.1,73,20.19,92,20.19
19.6,18.1,100,20.19,100,20.19
21.8,18.1,100,20.19,100,20.19
18.6,18.1,100,20.19,100,20.19
20.6,18.1,100,20.19,100,20.19
19.2,18.1,100,20.19,100,20.19
19.6,18.1,100,20.19,100,20.19
18.3,18.1,100,20.19,100,20.19
20.6,18.1,100,20.19,100,20.19
19.9,18.1,100,20.19,100,20.19
19.0,18.1,100,20.19,100,20.19
18.6,18.1,100,20.19,100,20.19
19.2,18.1,100,20.19,100,20.19
18.3,18.1,100,20.19,100,20.19
19.6,18.1,100,20.19,100,20.19
19.5,18.1,100,20.19,100,20.19
18.3,18.1,100,20.19,100,20.19
18.7,18.1,100,20.19,100,20.19
19.9,18.1,100,20.19,100,20.19
19.3,18.1,100,20.19,40,20.19
36.3,18.1,0,20.19,0,20.19
10.2,15.3,0,20.19,0,20.19
41.4,15.0,0,20.19,0,20.19
86.1,15.2,0,20.19,0,20.19
9.4,15.3,0,20.19,0,20.19
10.3,15.4,0,20.19,0,20.19
9.4,15.5,0,20.19,0,20.19
9.0,15.7,0,20.19,0,20.19
9.0,15.8,0,20.19,0,20.19
99.1,16.0,0,20.19,0,20.19
8.6,16.2,0,20.19,0,20.19
9.9,16.3,0,20.19,0,20.19
9.5,16.4,0,20.19,0,20.19
92.8,16.6,0,20.19,0,20.19
9.0,16.7,0,20.19,0,20.19
9.4,16.9,0,20.19,0,20.19
80.3,17.0,0,20.19,0,20.19
9.0,17.1,0,20.19,0,20.19
9.9,17.3,0,20.19,0,20.19
9.0,17.4,0,20.19,0,20.19
59.5,17.6,0,20.19,0,20.19
9.0,17.8,0,20.19,0,20.19
31.7,17.9,0,20.19,0,20.19
16.7,18.0,48,20.19,0,20.19
16.1,18.0,82,20.19,0,20.19
20.4,18.1,75,20.19,76,20.19
19.0,18.1,71,20.19,76,20.19
20.0,18.1,78,20.19,74,20.19
20.6,18.1,75,20.19,76,20.19
19.5,18.1,76,20.19,78,20.19
20.3,18.0,76,20.19,75,20.19
19.7,18.1,77,20.19,76,20.19
20.3,18.1,76,20.19,77,20.19
19.6,18.1,77,20.19,81,20.19
19.4,18.1,80,20.19,77,20.19
21.1,18.0,78,20.19,78,20.19
20.4,18.0,76,20.19,78,20.19
19.8,18.0,73,20.19,79,20.19
19.4,18.0,75,20.19,79,20.19
