2.3,11.7,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.2,9.3,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.6,9.3,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.4,9.3,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.4,9.3,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.4,9.3,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
32.3,10.2,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
4.6,10.8,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
4.6,11.5,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
2.5,11.4,0.00,0.00,0,7.65,0,2.95,0,2.95,0,2.95
2.3,13.7,0.00,0.00,4,15.17,0,2.95,0,2.95,0,2.95
2.7,15.0,0.00,0.00,6,27.08,0,2.95,0,2.95,0,2.95
2.3,15.4,0.00,0.00,0,27.08,0,2.95,0,2.95,0,2.95
2.5,16.0,0.00,0.00,0,27.08,0,2.95,0,2.95,0,2.95
73.5,16.5,0.00,0.00,0,27.08,0,2.95,0,2.95,0,2.95
2.3,16.8,0.00,0.00,0,27.08,0,2.95,0,2.95,0,2.95
2.7,17.2,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.7,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.5,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.9,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.3,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.5,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
6.5,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
5.4,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.5,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
3.1,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.3,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.7,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
7.9,17.4,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.5,17.5,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.5,17.5,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.3,17.5,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
6.5,17.5,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
2.9,17.5,0.00,0.00,0,31.43,0,2.95,0,2.95,0,2.95
