ave_cpu_allocate,ave_mem_allocate,ave_gpu_allocate,ave_gmem_allocate,idel_gpu_num,job_not_start_num,job_dealing_num,self.job_come_num,self.job_end_num
0.0,0.0,0.0,0.0,800,0,0,0,0
0.011418574735449733,0.013158496331916283,0.16112499999999996,0.09456927829318577,691,0,27,27,0
0.015871516986911718,0.01888084205217396,0.20704999999999998,0.11537234836154513,653,0,34,34,0
0.03406287858637605,0.033821938995069384,0.8218749999999999,0.3299474419487847,416,0,72,72,0
0.056605072939446256,0.05025908118315835,0.9214374999999996,0.37386746724446623,327,0,131,131,0
0.06544022918944628,0.05613705495160452,0.9543499999999995,0.39712491353352875,278,0,163,163,0
0.07829567765538234,0.07080031034153512,1.0316375,0.4388316090901693,226,0,189,193,4
0.10322909711786432,0.09299980263230177,1.1033375,0.4775143347846138,155,0,240,252,12
0.10954896586946442,0.09709477010182133,1.1915375000000001,0.513863508436415,128,0,254,279,25
0.12728485923501767,0.11959442676611542,1.3713875000000002,0.6447146097819011,76,0,280,314,34
0.1282741116550514,0.12406678025502471,1.4278875,0.7055130683051216,64,0,283,332,49
0.1617833411219477,0.14915679273988827,1.7643249999999993,0.8281710476345485,27,0,360,426,66
0.1666552161219476,0.15962216461353193,1.9037249999999992,0.8819104682074651,19,0,375,457,82
0.18178561068099253,0.176372005973698,2.0726874999999993,0.9814769999186198,0,1,397,506,108
0.19465789868968156,0.19747066612406353,2.0443874999999987,0.9839979298909508,0,3,413,549,133
0.20072055979494308,0.20013052390257782,2.0011124999999996,0.9769943745930989,4,1,435,585,149
0.20467136998012825,0.20596251446247368,2.0023624999999994,0.9855388471815323,0,21,438,635,176
0.2116463699801282,0.21000067881319529,2.0048874999999993,0.9839036305745443,0,44,453,688,191
0.22364683806239316,0.21069355358579148,2.0794499999999996,0.9845079803466799,0,5,485,700,210
0.228652567590583,0.21617252710081344,2.037337499999999,0.9664033338758682,2,5,502,739,232
0.23893662564751783,0.22871562618177016,2.084474999999999,0.9800994449191625,0,4,510,773,259
0.24069750678027396,0.22716956239393282,1.9919999999999993,0.9591956159803604,0,5,520,802,277
0.24960902602047644,0.22973488985914603,1.9842999999999988,0.9793398539225261,0,5,549,848,294
0.25026449477047646,0.22981444960917316,1.9904999999999993,0.9815270572238499,0,7,552,871,312
0.25212192532603206,0.231163959378189,1.9801999999999993,0.9810041639539933,0,10,553,891,328
0.25646678643714316,0.23596742702277448,1.9788999999999997,0.9828411271837024,0,15,558,914,341
0.2581375329649209,0.23563827459764425,1.977674999999999,0.9829919518364801,0,20,556,929,353
0.3443373668896767,0.2623915423446407,1.8766,0.9697096930609811,0,20,630,1018,368
0.3577669379604071,0.26195908969745896,1.8368374999999997,0.9647364128960505,0,16,654,1066,396
0.3548502709163249,0.26021118509960983,1.8805124999999998,0.9673658159044055,1,15,642,1077,420
