cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
6.2,15.3,0,47.46,60,10.97,0,1.27,0,1.27
55.1,14.9,0,47.46,5,10.97,0,1.27,0,1.27
67.8,15.1,0,47.46,59,10.97,0,1.27,0,1.27
9.1,15.1,0,47.46,31,10.97,0,1.27,0,1.27
56.0,14.8,0,47.46,11,10.97,0,1.27,0,1.27
28.3,15.0,0,47.46,48,10.97,0,1.27,0,1.27
9.3,16.4,0,47.46,65,10.97,0,1.27,0,1.27
55.4,14.8,0,47.46,33,10.97,0,1.27,0,1.27
55.1,14.9,0,47.46,30,10.97,0,1.27,0,1.27
21.0,15.0,0,47.46,76,10.97,0,1.27,0,1.27
55.1,15.2,0,47.46,31,10.97,0,1.27,0,1.27
58.9,15.2,19,47.46,29,10.97,0,1.27,0,1.27
52.5,15.2,24,47.46,39,10.97,0,1.27,0,1.27
56.9,16.3,86,47.46,7,10.97,0,1.27,0,1.27
57.1,15.2,20,47.46,23,10.97,0,1.27,0,1.27
53.7,15.2,25,47.46,32,10.97,0,1.27,0,1.27
45.1,15.4,86,47.46,26,10.97,0,1.27,0,1.27
57.1,15.2,17,47.46,28,10.97,0,1.27,0,1.27
54.7,15.2,19,47.46,33,10.97,0,1.27,0,1.27
8.7,16.3,100,47.46,68,10.97,0,1.27,0,1.27
58.5,15.3,100,47.46,33,10.97,0,1.27,0,1.27
45.1,15.2,58,47.46,69,10.97,0,1.27,0,1.27
8.4,16.4,97,47.46,69,10.97,0,1.27,0,1.27
57.6,16.2,94,47.46,59,10.97,0,1.27,0,1.27
59.0,15.2,94,47.46,59,10.97,0,1.27,0,1.27
8.3,16.9,100,47.46,77,10.97,0,1.27,0,1.27
16.0,15.4,89,47.46,60,10.97,0,1.27,0,1.27
33.5,16.4,95,47.46,76,10.97,0,1.27,0,1.27
18.5,17.3,94,47.46,68,10.97,0,1.27,0,1.27
21.1,15.4,82,47.46,34,10.97,0,1.27,0,1.27
57.5,13.3,64,35.86,78,10.97,0,1.27,0,1.27
60.9,14.1,87,35.86,69,10.97,0,1.27,0,1.27
10.1,15.6,100,35.86,63,10.97,0,1.27,0,1.27
20.1,13.2,68,35.86,0,1.27,0,1.27,0,1.27
53.3,13.5,33,35.86,0,1.27,0,1.27,0,1.27
48.4,14.1,87,35.86,0,1.27,0,1.27,0,1.27
10.5,15.2,100,35.86,0,1.27,0,1.27,0,1.27
37.5,15.5,95,35.86,0,1.27,4,4.14,0,1.27
59.1,17.3,97,35.86,0,1.27,1,9.51,0,1.27
9.3,15.7,100,35.86,0,1.27,3,21.2,0,1.27
22.4,17.4,88,35.86,0,1.27,0,24.54,0,1.27
57.2,18.2,0,35.86,0,1.27,6,29.44,0,1.27
51.1,18.5,0,35.86,0,1.27,3,37.01,0,1.27
33.0,19.5,85,35.86,0,1.27,0,42.4,0,1.27
54.1,20.1,76,35.86,0,1.27,0,42.4,0,1.27
33.4,19.9,97,35.86,0,1.27,0,42.4,0,1.27
12.8,21.2,82,35.86,0,1.27,68,46.03,0,1.27
38.4,20.4,76,35.86,0,1.27,51,46.03,0,1.27
26.5,20.2,100,35.86,0,1.27,62,46.03,0,1.27
28.0,20.1,99,35.86,0,1.27,47,46.03,0,1.27
21.3,20.2,91,35.86,0,1.27,45,46.03,0,1.27
56.4,20.2,100,35.86,0,1.27,55,46.03,0,1.27
41.5,20.1,88,35.86,0,1.27,58,46.03,0,1.27
10.2,21.3,100,35.86,0,1.27,51,46.03,0,1.27
31.9,20.3,85,35.86,0,1.27,47,46.03,0,1.27
58.7,20.3,49,35.86,0,1.27,57,46.03,0,1.27
10.4,21.2,100,35.86,0,1.27,56,46.03,0,1.27
59.1,22.0,88,35.86,0,1.27,68,46.03,0,1.27
49.8,20.4,69,35.86,0,1.27,63,46.03,0,1.27
12.4,21.9,99,35.86,0,1.27,35,46.03,0,1.27
20.0,20.3,85,35.86,0,1.27,61,46.03,0,1.27
58.9,21.2,85,35.86,0,1.27,65,46.03,0,1.27
59.5,22.2,95,35.86,0,1.27,46,46.03,0,1.27
38.6,20.2,100,35.86,0,1.27,46,46.03,0,1.27
71.1,16.0,0,12.88,0,1.27,61,46.03,0,1.27
29.1,16.8,0,12.88,0,1.27,61,46.03,0,1.27
58.7,17.6,71,12.88,0,1.27,46,46.03,0,1.27
57.1,16.1,93,12.88,0,1.27,48,46.03,0,1.27
56.7,15.8,78,12.88,0,1.27,65,46.03,0,1.27
27.5,16.9,82,12.88,0,1.27,46,46.03,0,1.27
8.1,17.6,84,12.88,0,1.27,42,46.03,0,1.27
57.3,16.0,92,12.88,0,1.27,49,46.03,0,1.27
22.0,16.6,88,12.88,0,1.27,64,46.03,0,1.27
37.3,17.3,84,12.88,0,1.27,46,46.03,0,1.27
54.6,15.5,0,1.27,0,1.27,42,46.03,0,1.27
9.1,15.3,0,1.27,0,1.27,41,46.03,0,1.27
58.5,15.4,4,6.28,0,1.27,40,46.03,0,1.27
27.2,17.4,4,12.93,0,1.27,0,46.04,0,1.27
12.3,17.5,5,21.01,0,1.27,0,46.04,0,1.27
47.8,18.8,0,27.79,0,1.27,0,46.04,0,1.27
10.1,21.3,4,33.61,0,1.27,33,46.04,0,1.27
52.8,21.0,8,33.74,0,1.27,42,46.04,0,1.27
65.4,20.2,22,33.74,0,1.27,65,46.04,0,1.27
88.8,20.0,18,33.74,0,1.27,93,37.92,0,1.27
72.6,19.4,22,33.74,0,1.27,91,37.92,0,1.27
31.0,19.9,11,33.74,0,1.27,91,37.85,0,1.27
49.3,15.3,17,33.74,0,1.27,52,22.67,0,1.27
95.3,15.2,3,33.74,0,1.27,65,22.67,0,1.27
53.5,15.3,6,33.74,0,1.27,90,22.67,0,1.27
25.1,14.8,21,33.74,0,1.27,0,22.67,0,1.27
53.8,15.1,18,33.74,0,1.27,0,22.67,0,1.27
