cpu_util,mem_util,gpu_util0,gmem_util0
18.6,4.0,0,1.27
21.5,3.9,0,1.27
24.8,4.1,0,1.27
20.4,4.1,0,2.7
23.6,4.3,3,4.48
19.8,4.7,7,6.27
22.8,5.1,4,7.9
18.7,5.4,0,10.14
80.9,5.4,0,10.14
22.9,5.5,0,10.14
21.5,5.6,0,10.14
34.3,5.6,0,10.14
21.9,5.7,0,10.14
20.8,5.8,0,10.14
23.1,5.8,0,10.14
30.7,5.9,0,10.14
23.8,6.0,0,13.25
23.8,6.0,63,13.25
25.5,6.0,74,13.25
26.8,6.0,67,13.25
26.2,6.1,68,13.25
13.7,6.0,67,13.25
27.8,6.0,78,13.25
26.2,6.1,73,13.25
28.6,6.0,73,13.25
26.1,5.4,0,13.25
20.8,5.5,0,13.25
22.5,5.5,0,13.25
68.4,5.7,0,13.25
22.9,5.6,0,13.25
22.2,5.8,0,13.25
60.1,5.8,0,13.25
24.7,5.8,0,13.25
20.9,6.0,0,13.25
26.2,6.0,69,13.25
21.3,6.0,66,13.25
25.2,6.0,66,13.25
22.8,6.0,66,13.25
28.2,6.0,77,13.25
28.3,6.0,70,13.25
26.0,6.0,77,13.25
27.6,6.0,70,13.25
28.8,5.6,0,13.25
53.8,5.5,0,13.25
23.6,5.5,0,13.25
22.9,5.7,0,13.25
58.9,5.7,0,13.25
23.9,5.7,0,13.25
20.8,5.8,0,13.25
40.0,5.8,0,13.25
21.0,6.0,0,13.25
22.6,6.0,19,13.25
23.9,6.0,70,13.25
24.6,6.0,77,13.25
27.0,6.0,73,13.25
28.5,6.0,69,13.25
26.4,6.0,55,13.25
26.8,6.0,62,13.25
27.7,6.0,66,13.25
25.6,6.0,68,13.25
23.2,5.8,0,13.25
18.1,5.4,0,13.25
20.8,5.5,0,13.25
20.9,5.6,0,13.25
51.3,5.6,0,13.25
20.9,5.7,0,13.25
13.5,5.8,0,13.25
24.0,5.8,0,13.25
23.3,5.9,0,13.25
20.9,5.9,0,13.25
26.0,5.9,71,13.25
25.3,6.0,65,13.25
27.5,6.0,68,13.25
27.9,6.0,66,13.25
26.0,6.0,64,13.25
25.5,6.0,64,13.25
27.1,6.0,64,13.25
26.2,6.0,76,13.25
24.7,6.0,0,13.25
16.1,5.5,0,13.25
18.8,5.5,0,13.25
22.2,5.6,0,13.25
23.3,5.7,0,13.25
22.0,5.7,0,13.25
37.9,5.8,0,13.25
21.5,5.8,0,13.25
23.5,5.9,0,13.25
22.7,6.0,0,13.25
18.3,6.0,67,13.25
25.7,6.0,67,13.25
22.7,6.0,72,13.25
27.5,6.0,56,13.25
27.3,6.0,66,13.25
25.8,6.0,72,13.25
27.8,6.0,69,13.25
27.4,6.0,74,13.25
29.1,6.0,36,13.25
16.6,5.4,0,13.25
23.0,5.5,0,13.25
21.7,5.5,0,13.25
83.9,5.7,0,13.25
22.2,5.7,0,13.25
23.8,5.8,0,13.25
49.5,5.8,0,13.25
21.9,5.8,0,13.25
23.1,6.0,0,13.25
24.3,6.0,28,13.25
23.0,6.0,69,13.25
24.5,6.0,63,13.25
26.1,6.0,71,13.25
20.7,6.0,74,13.25
24.9,6.0,67,13.25
25.5,6.0,71,13.25
27.9,6.0,72,13.25
25.8,6.0,33,13.25
22.3,5.4,0,13.25
44.2,5.5,0,13.25
20.7,5.5,0,13.25
17.8,5.6,0,13.25
64.5,5.7,0,13.25
21.3,5.7,0,13.25
22.8,5.8,0,13.25
23.7,5.8,0,13.25
23.8,6.0,0,13.25
20.9,6.0,29,13.25
26.4,6.0,63,13.25
25.0,6.0,65,13.25
26.8,6.0,71,13.25
27.2,6.0,73,13.25
26.0,6.0,72,13.25
28.6,6.0,72,13.25
27.4,6.0,66,13.25
25.8,6.0,0,13.25
21.1,5.4,0,13.25
19.8,5.5,0,13.25
19.0,5.5,0,13.25
27.7,5.7,0,13.25
41.7,5.6,0,13.25
23.5,5.8,0,13.25
21.8,5.8,0,13.25
19.8,5.8,0,13.25
22.3,6.0,0,13.25
24.1,6.0,68,13.25
25.6,6.0,66,13.25
27.0,6.0,67,13.25
27.7,6.0,68,13.25
27.2,6.0,67,13.25
27.4,6.0,71,13.25
26.7,6.0,67,13.25
24.9,6.0,73,13.25
24.6,6.0,12,13.25
24.1,5.4,0,13.25
19.9,5.5,0,13.25
20.8,5.6,0,13.25
15.1,5.6,0,13.25
16.5,5.7,0,13.25
19.8,5.8,0,13.25
21.8,5.8,0,13.25
19.8,5.8,0,13.25
20.8,5.9,0,13.25
21.0,6.0,57,13.25
27.2,6.0,60,13.25
27.7,6.0,67,13.25
24.8,6.0,63,13.25
25.3,6.0,57,13.25
26.0,6.0,64,13.25
26.5,6.0,58,13.25
27.8,6.0,55,13.25
27.7,6.0,63,13.25
25.8,6.0,56,13.25
25.1,5.4,0,13.25
22.3,5.5,0,13.25
16.0,5.5,0,13.25
67.1,5.6,0,13.25
18.7,5.6,0,13.25
21.1,5.7,0,13.25
17.8,5.7,0,13.25
21.8,5.8,0,13.25
55.3,5.9,0,13.25
25.3,5.9,0,13.25
27.8,6.0,73,13.25
24.1,6.0,65,13.25
24.9,6.0,75,13.25
27.6,6.0,71,13.25
24.6,6.0,66,13.25
26.2,6.0,69,13.25
28.3,6.0,67,13.25
21.7,6.0,67,13.25
26.4,5.7,0,1.27
22.3,4.0,0,1.27
178.29
