7.8,15.4,18,37.02,0,2.67,0,2.67,0,2.67
14.7,15.7,18,37.02,0,2.67,0,2.67,0,2.67
14.7,16.0,18,37.02,0,2.67,0,2.67,0,2.67
16.1,16.3,18,37.02,0,2.67,0,4.19,0,2.67
12.4,18.2,14,37.02,1,6.02,1,8.47,0,2.67
25.2,20.7,16,37.02,11,9.15,15,9.15,0,2.67
48.9,20.9,15,37.02,13,9.42,9,9.42,0,2.67
53.4,21.1,14,37.02,11,9.42,12,9.42,0,2.67
22.6,21.2,15,37.02,26,9.42,8,9.42,0,2.67
13.1,21.2,16,37.02,20,9.42,17,9.42,0,2.67
27.3,21.2,15,37.02,13,9.42,12,9.42,0,2.67
17.9,21.2,16,37.02,16,9.42,9,9.42,0,2.67
49.9,21.1,15,37.02,14,9.42,9,9.42,0,2.67
47.3,21.2,15,37.02,15,9.42,8,9.42,0,2.67
31.8,21.2,15,37.02,13,9.42,12,9.42,0,2.67
12.4,21.0,15,37.02,22,9.42,9,9.42,0,2.67
38.0,21.2,15,37.02,18,9.42,16,9.42,0,2.67
27.3,21.3,15,37.02,13,9.42,14,9.42,0,2.67
31.6,21.3,15,37.02,14,9.42,9,9.42,0,2.67
48.6,21.3,15,37.02,11,9.42,13,9.42,0,2.67
20.5,21.3,15,37.02,14,9.42,8,9.42,0,2.67
47.1,21.2,16,37.02,20,9.42,20,9.42,0,2.67
39.3,21.2,17,37.02,13,9.42,31,9.42,0,2.67
17.2,21.3,15,37.02,17,9.42,25,9.42,0,2.67
42.7,21.3,15,37.02,19,9.42,16,9.42,0,2.67
40.6,21.2,15,37.02,13,9.42,19,9.42,0,2.67
16.4,21.2,15,37.02,15,9.42,8,9.42,0,2.67
19.2,21.3,16,37.02,14,9.42,24,9.42,0,2.67
16.9,21.3,15,37.02,12,9.42,17,9.42,0,2.67
53.7,21.2,16,37.02,15,9.42,13,9.42,0,2.67
34.8,21.2,16,37.02,21,9.42,21,9.42,0,2.67
28.1,21.2,16,37.02,17,9.42,20,9.42,0,2.67
49.6,21.3,16,37.02,19,9.42,10,9.42,0,2.67
50.3,21.2,14,37.02,19,9.42,7,9.42,0,2.67
16.1,21.3,15,37.02,23,9.42,7,9.42,0,2.67
45.0,21.3,16,37.02,30,9.42,8,9.42,0,2.67
21.0,21.3,15,37.02,20,9.42,8,9.42,0,2.67
51.9,21.3,15,37.02,16,9.42,10,9.42,0,2.67
27.6,21.3,17,37.02,16,9.42,24,9.42,0,2.67
34.8,21.3,17,37.02,19,9.42,9,9.42,0,2.67
49.4,21.3,15,37.02,14,9.42,9,9.42,0,2.67
47.0,21.3,14,37.02,16,9.42,13,9.42,0,2.67
44.0,21.3,14,37.02,12,9.42,9,9.42,0,2.67
22.0,21.3,15,37.02,23,9.42,9,9.42,0,2.67
42.0,21.3,15,37.02,13,9.42,14,9.42,0,2.67
48.9,21.3,15,37.02,16,9.42,19,9.42,0,2.67
21.5,21.3,16,37.02,17,9.42,30,9.42,0,2.67
16.4,21.3,16,37.02,18,9.42,28,9.42,0,2.67
47.4,21.3,16,37.02,14,9.42,14,9.42,0,2.67
49.9,21.3,16,37.02,18,9.42,9,9.42,0,2.67
43.4,21.3,15,37.02,24,9.42,7,9.42,0,2.67
39.4,21.3,16,37.02,25,9.42,8,9.42,0,2.67
52.8,21.3,16,37.02,19,9.42,7,9.42,0,2.67
50.2,21.3,15,37.02,26,9.42,9,9.42,0,2.67
50.7,21.3,15,37.02,26,9.42,8,9.42,0,2.67
32.2,21.3,15,37.02,17,9.42,9,9.42,0,2.67
40.4,21.3,15,37.02,15,9.42,24,9.42,0,2.67
55.6,21.3,16,37.02,13,9.42,25,9.42,0,2.67
17.2,21.3,16,37.02,17,9.42,11,9.42,0,2.67
45.4,21.3,15,37.02,16,9.42,29,9.42,0,2.67
27.0,21.3,15,37.02,21,9.42,35,9.42,0,2.67
47.9,21.3,15,37.02,18,9.42,29,9.42,0,2.67
27.9,21.3,15,37.02,17,9.42,28,9.42,0,2.67
44.4,21.2,15,37.02,13,9.42,24,9.42,0,2.67
29.0,21.3,14,37.02,13,9.42,17,9.42,0,2.67
34.9,21.2,15,37.02,15,9.42,21,9.42,0,2.67
50.8,21.3,15,37.02,20,9.42,13,9.42,0,2.67
33.7,21.3,16,37.02,20,9.42,23,9.42,0,2.67
29.7,21.2,15,37.02,10,9.42,25,9.42,0,2.67
44.1,21.2,15,37.02,12,9.42,19,9.42,0,2.67
37.6,21.2,15,37.02,13,9.42,15,9.42,0,2.67
29.0,21.2,16,37.02,21,9.42,16,9.42,0,2.67
19.9,21.2,16,37.02,17,9.42,19,9.42,0,2.67
49.1,21.3,16,37.02,17,9.42,29,9.42,0,2.67
15.6,21.3,16,37.02,18,9.42,25,9.42,0,2.67
49.3,21.3,16,37.02,15,9.42,13,9.42,0,2.67
39.4,21.2,16,37.02,13,9.42,19,9.42,0,2.67
47.4,21.3,15,37.02,13,9.42,20,9.42,0,2.67
45.4,21.3,15,37.02,14,9.42,22,9.42,0,2.67
20.5,21.4,15,37.02,18,9.42,31,9.42,0,2.67
47.2,21.4,17,37.02,16,9.42,32,9.42,0,2.67
20.0,21.2,16,37.02,20,9.42,27,9.42,0,2.67
46.1,21.2,15,37.02,17,9.42,31,9.42,0,2.67
31.5,21.3,16,37.02,13,9.42,21,9.42,0,2.67
18.8,21.2,15,37.02,15,9.42,16,9.42,0,2.67
48.2,21.3,15,37.02,15,9.42,17,9.42,0,2.67
49.3,21.3,15,37.02,13,9.42,20,9.42,0,2.67
50.0,21.3,15,37.02,22,9.42,21,9.42,0,2.67
14.4,21.2,15,37.02,18,9.42,29,9.42,0,2.67
34.9,21.2,16,37.02,18,9.42,23,9.42,0,2.67
31.3,21.3,15,37.02,18,9.42,7,9.42,0,2.67
52.0,21.3,15,37.02,20,9.42,12,9.42,0,2.67
41.8,21.2,15,37.02,16,9.42,10,9.42,0,2.67
43.0,21.2,16,37.02,17,9.42,28,9.42,0,2.67
39.8,21.2,16,37.02,17,9.42,35,9.42,0,2.67
24.9,21.3,16,37.02,22,9.42,14,9.42,0,2.67
35.5,21.2,15,37.02,19,9.42,22,9.42,0,2.67
25.3,21.3,16,37.02,16,9.42,13,9.42,0,2.67
36.6,21.3,16,37.02,18,9.42,25,9.42,0,2.67
45.5,21.3,16,37.02,18,9.42,19,9.42,0,2.67
18.4,21.2,15,37.02,19,9.42,16,9.42,0,2.67
22.2,21.3,15,37.02,19,9.42,17,9.42,0,2.67
48.8,21.3,16,37.02,25,9.42,11,9.42,0,2.67
32.0,21.3,16,37.02,18,9.42,19,9.42,0,2.67
39.1,21.2,15,37.02,19,9.42,14,9.42,0,2.67
42.9,21.3,18,37.02,20,9.42,24,9.42,0,2.67
32.1,21.3,15,37.02,18,9.42,25,9.42,0,2.67
15.5,21.3,17,37.02,12,9.42,14,9.42,0,2.67
53.5,21.3,19,37.02,17,9.42,17,9.42,0,2.67
28.9,21.3,15,37.02,12,9.42,28,9.42,0,2.67
49.3,21.3,15,37.02,20,9.42,11,9.42,0,2.67
