1.3,8.5,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.6,8.5,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.2,8.5,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.8,8.5,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.2,8.5,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
0.6,8.5,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
13.6,9.8,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
7.1,10.4,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
21.5,11.8,0.00,0.00,0,2.95,0,2.95,0,2.95,0,2.95
4.6,13.7,0.00,0.00,0,5.87,0,2.95,5,8.8,0,2.95
6.8,18.0,0.00,0.00,3,11.95,0,2.95,5,15.24,0,2.95
6.8,22.7,0.00,0.00,3,18.54,0,2.95,4,25.2,0,2.95
47.0,24.6,0.00,0.00,2,27.08,0,2.95,0,25.2,0,2.95
22.1,25.9,0.00,0.00,0,27.08,0,2.95,0,25.2,0,2.95
34.0,27.5,0.00,0.00,0,27.08,0,2.95,0,25.2,0,2.95
13.3,29.2,0.00,0.00,0,27.08,0,2.95,0,25.2,0,2.95
6.8,30.5,0.00,0.00,0,27.08,0,2.95,0,25.2,0,2.95
21.4,32.2,0.00,0.00,0,27.08,0,2.95,0,33.65,0,2.95
20.4,33.1,0.00,0.00,73,33.7,0,2.95,89,33.65,0,2.95
21.8,34.1,0.00,0.00,94,33.7,0,2.95,89,33.65,0,2.95
21.2,35.2,0.00,0.00,95,33.7,0,5.38,86,33.65,0,2.95
19.5,36.6,0.00,0.00,96,33.7,3,11.95,85,33.65,0,2.95
21.1,38.3,0.00,0.00,93,33.7,3,17.68,84,33.65,0,2.95
25.4,39.3,0.00,0.00,94,33.7,4,23.3,81,33.65,0,2.95
21.5,38.8,0.00,0.00,93,33.7,0,57.99,81,33.65,0,2.95
21.9,38.9,0.00,0.00,95,33.7,96,57.99,87,33.65,0,2.95
21.9,39.1,0.00,0.00,94,33.7,96,57.99,87,33.65,0,3.07
22.7,39.4,0.00,0.00,94,33.7,95,57.99,83,33.65,3,10.7
24.2,41.3,0.00,0.00,94,33.7,97,57.99,89,30.72,4,17.63
15.1,41.0,0.00,0.00,93,33.7,96,57.99,0,30.72,53,27.69
16.6,41.7,0.00,0.00,95,33.7,88,59.9,0,30.72,74,27.69
15.9,42.2,0.00,0.00,94,33.7,97,59.9,0,30.72,74,27.69
15.2,42.4,0.00,0.00,96,33.7,96,59.9,0,30.72,76,27.69
8.9,40.5,0.00,0.00,65,31.06,95,59.9,0,30.72,78,27.69
9.0,41.5,0.00,0.00,0,31.06,98,59.9,0,30.72,79,27.69
15.8,42.2,0.00,0.00,0,31.06,96,58.8,47,33.65,78,27.69
16.1,42.4,0.00,0.00,0,31.06,96,59.9,89,33.65,77,27.69
17.1,42.9,0.00,0.00,0,31.06,93,59.9,87,33.65,76,27.69
16.4,43.4,0.00,0.00,0,31.06,94,59.9,83,33.65,77,27.69
20.7,43.6,0.00,0.00,0,33.7,92,59.9,84,33.65,77,27.69
22.6,43.6,0.00,0.00,96,33.7,96,59.9,89,33.65,77,27.69
21.9,43.6,0.00,0.00,95,33.7,96,59.9,87,33.65,77,27.69
23.0,43.6,0.00,0.00,96,33.7,99,59.9,86,33.65,75,27.69
22.4,43.6,0.00,0.00,96,33.7,95,59.9,89,33.65,75,27.69
22.8,43.6,0.00,0.00,95,33.7,96,59.9,83,33.65,75,27.69
22.8,43.6,0.00,0.00,95,33.7,94,59.9,88,33.7,78,27.69
15.2,41.2,0.00,0.00,96,33.7,95,59.9,18,30.72,77,27.69
99.6,41.7,0.00,0.00,94,33.7,87,59.9,0,30.72,77,27.69
85.7,42.2,0.00,0.00,95,33.7,96,59.9,0,30.72,78,27.69
15.4,42.4,0.00,0.00,95,33.7,95,59.9,0,30.72,80,27.69
15.2,42.9,0.00,0.00,94,33.7,97,59.9,0,30.72,76,27.69
50.0,43.4,0.00,0.00,97,33.7,97,59.9,0,30.72,78,27.69
15.8,43.5,0.00,0.00,92,33.7,96,59.9,1,33.65,79,27.69
24.1,43.6,0.00,0.00,96,33.7,92,59.9,86,33.65,78,27.69
17.0,41.2,0.00,0.00,55,31.06,94,59.9,89,33.65,78,27.69
15.5,41.7,0.00,0.00,0,31.06,96,59.9,82,33.65,74,27.69
16.0,42.3,0.00,0.00,0,31.06,94,59.9,83,33.65,79,27.69
16.3,42.7,0.00,0.00,0,31.06,96,59.9,81,33.65,78,27.69
16.7,42.9,0.00,0.00,0,31.06,95,58.8,85,33.65,78,27.69
16.7,43.5,0.00,0.00,0,31.06,97,59.9,84,33.65,79,27.69
22.3,43.6,0.00,0.00,31,33.7,96,59.9,92,33.65,76,27.69
23.5,43.6,0.00,0.00,96,33.7,95,59.9,91,33.65,79,27.69
20.2,43.6,0.00,0.00,96,33.7,99,59.9,84,33.65,68,27.69
21.3,43.6,0.00,0.00,96,33.7,95,59.9,0,30.72,75,27.69
17.3,41.7,0.00,0.00,92,33.7,96,59.9,0,30.72,77,27.69
15.6,42.1,0.00,0.00,96,33.7,96,59.9,0,30.72,77,27.69
15.5,42.3,0.00,0.00,93,33.7,96,59.9,0,30.72,76,27.69
15.3,42.9,0.00,0.00,95,33.7,94,59.9,0,30.72,75,27.69
15.0,43.3,0.00,0.00,95,33.7,96,59.9,0,30.72,75,27.69
15.4,43.5,0.00,0.00,94,33.7,95,59.9,59,33.65,77,27.69
22.9,43.6,0.00,0.00,96,33.7,88,59.9,86,33.65,77,27.69
22.4,43.6,0.00,0.00,96,33.7,96,59.9,85,33.65,67,27.69
21.1,43.6,0.00,0.00,95,33.7,95,59.9,83,33.65,76,27.69
22.0,43.6,0.00,0.00,96,33.7,95,59.9,84,33.65,77,27.69
23.1,43.6,0.00,0.00,96,33.7,94,59.9,87,33.65,77,27.69
17.3,41.2,0.00,0.00,89,31.06,94,59.9,84,33.65,77,27.69
16.4,41.7,0.00,0.00,0,31.06,89,59.9,83,33.65,79,27.69
16.1,42.3,0.00,0.00,0,31.06,93,59.9,86,33.65,80,27.69
16.4,42.6,0.00,0.00,0,31.06,95,59.9,95,33.65,79,27.69
16.4,43.0,0.00,0.00,0,31.06,95,59.9,91,33.65,79,27.69
15.2,43.5,0.00,0.00,0,31.06,96,59.9,0,30.72,78,27.69
14.5,41.7,0.00,0.00,0,33.7,97,59.9,0,30.72,78,27.69
52.5,42.2,0.00,0.00,95,33.7,90,59.9,0,30.72,75,27.69
15.9,42.4,0.00,0.00,93,33.7,95,59.9,0,30.72,73,27.69
15.6,42.9,0.00,0.00,91,33.7,94,59.9,0,30.72,75,27.69
14.7,43.4,0.00,0.00,96,33.7,95,59.9,0,30.72,76,27.69
14.9,43.5,0.00,0.00,94,33.7,97,59.9,35,33.65,78,27.69
22.0,43.6,0.00,0.00,94,33.7,97,59.9,89,33.65,79,27.69
23.5,43.6,0.00,0.00,96,33.7,86,59.9,87,33.65,76,27.69
22.0,43.6,0.00,0.00,96,33.7,95,59.9,89,33.65,80,27.69
22.6,43.6,0.00,0.00,95,33.7,96,59.9,88,33.65,78,27.69
23.3,43.6,0.00,0.00,94,33.7,96,59.9,85,33.65,78,27.69
21.8,43.6,0.00,0.00,96,33.7,97,59.9,86,33.65,79,27.69
21.9,43.7,0.00,0.00,95,33.7,96,59.9,88,33.65,73,27.69
22.1,43.7,0.00,0.00,95,33.7,92,59.9,85,33.65,76,27.69
22.3,43.7,0.00,0.00,96,33.7,95,59.9,85,33.65,76,27.69
16.6,41.3,0.00,0.00,78,31.06,97,59.9,90,33.65,78,27.69
33.4,41.8,0.00,0.00,0,31.06,95,59.9,19,2.95,77,27.69
6.5,34.2,0.00,0.00,0,31.06,97,59.9,0,2.95,78,27.69
6.7,34.3,0.00,0.00,0,31.06,98,59.9,0,2.95,77,27.69
6.5,34.8,0.00,0.00,0,31.06,97,59.9,0,2.95,79,27.69
6.9,35.4,0.00,0.00,0,31.06,96,59.9,0,2.95,79,27.69
12.8,35.5,0.00,0.00,0,33.7,96,59.9,0,2.95,80,27.69
12.7,35.5,0.00,0.00,96,33.7,97,59.9,0,2.95,78,27.69
12.2,35.5,0.00,0.00,97,33.7,97,59.9,0,2.95,78,27.69
13.2,35.5,0.00,0.00,96,33.7,97,59.9,0,2.95,79,27.69
12.7,35.5,0.00,0.00,96,33.7,96,59.9,0,2.95,79,27.69
12.8,35.5,0.00,0.00,96,33.7,91,59.9,0,2.95,78,27.69
13.3,35.5,0.00,0.00,95,33.7,98,59.9,0,2.95,80,27.69
12.6,35.5,0.00,0.00,96,33.7,98,59.9,0,2.95,75,27.69
13.4,35.5,0.00,0.00,96,33.7,97,59.9,0,2.95,74,27.69
12.8,35.5,0.00,0.00,97,33.7,97,59.9,0,2.95,76,27.69
13.4,35.5,0.00,0.00,97,33.7,97,59.9,0,2.95,75,27.69
14.0,35.5,0.00,0.00,96,33.7,96,59.9,0,2.95,76,27.69
12.8,35.5,0.00,0.00,96,33.7,98,59.9,0,2.95,73,27.69
12.8,35.5,0.00,0.00,96,33.7,97,59.9,0,2.95,78,27.69
13.7,35.5,0.00,0.00,97,33.7,98,59.9,0,2.95,80,27.69
6.7,32.6,0.00,0.00,25,2.95,97,59.9,0,2.95,82,27.69
4.8,27.4,0.00,0.00,5,2.95,98,59.9,0,2.95,81,27.69
4.2,27.4,0.00,0.00,0,2.95,98,59.9,0,2.95,81,27.69
6.1,27.4,0.00,0.00,0,2.95,98,59.9,0,2.95,80,27.69
6.5,27.9,0.00,0.00,0,2.95,96,59.9,0,2.95,81,27.69
8.4,28.9,0.00,0.00,0,2.95,95,59.9,0,2.95,74,27.69
8.9,29.3,0.00,0.00,0,3.07,97,59.9,1,6.6,75,27.69
9.8,32.8,0.00,0.00,1,10.55,98,59.9,4,13.36,79,27.69
8.8,36.7,0.00,0.00,3,16.9,96,59.9,6,27.08,80,27.69
8.9,38.8,0.00,0.00,6,27.08,89,59.9,4,27.08,75,27.69
8.9,39.2,0.00,0.00,0,27.08,96,59.9,0,27.08,82,27.69
8.5,40.3,0.00,0.00,0,27.08,96,59.9,0,27.08,77,27.69
8.8,40.6,0.00,0.00,0,27.08,99,59.9,0,27.08,77,27.69
8.5,41.6,0.00,0.00,0,27.08,98,59.9,0,27.08,82,27.69
8.4,42.6,0.00,0.00,0,27.08,96,59.9,0,27.08,80,27.69
11.6,43.1,0.00,0.00,0,33.7,96,59.68,54,33.7,81,27.69
13.3,30.7,0.00,0.00,98,33.7,10,2.95,99,33.7,82,27.69
9.6,30.1,0.00,0.00,98,33.7,0,2.95,98,33.7,79,27.69
11.7,30.1,0.00,0.00,97,33.7,0,2.95,98,33.7,79,27.69
11.4,30.1,0.00,0.00,98,33.7,0,2.95,98,33.7,79,27.69
12.1,30.6,0.00,0.00,98,33.7,0,2.95,99,33.7,79,27.69
12.5,31.0,0.00,0.00,99,33.7,0,2.95,98,33.7,79,27.69
12.9,31.2,0.00,0.00,98,33.7,0,5.77,98,33.7,81,27.69
12.9,32.7,0.00,0.00,98,33.7,3,11.43,98,33.7,81,27.69
12.9,34.4,0.00,0.00,98,33.7,3,17.0,98,33.7,80,27.69
12.7,35.7,0.00,0.00,97,33.7,5,22.93,98,33.7,81,27.69
13.5,35.7,0.00,0.00,98,33.7,27,22.93,98,33.7,82,27.69
12.9,35.7,0.00,0.00,99,33.7,27,22.93,99,33.7,81,27.69
12.5,35.7,0.00,0.00,98,33.7,26,22.93,99,33.7,80,27.69
12.7,35.5,0.00,0.00,98,33.7,25,22.93,98,33.7,4,2.95
10.3,29.9,0.00,0.00,98,33.7,24,22.93,98,33.7,0,2.95
10.8,29.9,0.00,0.00,98,33.7,24,22.93,98,33.7,0,2.95
10.2,29.9,0.00,0.00,98,33.7,26,22.93,98,33.7,0,2.95
10.4,29.9,0.00,0.00,99,33.7,30,22.93,99,33.7,0,2.95
10.2,29.9,0.00,0.00,99,33.7,27,22.93,98,33.7,0,2.95
10.6,29.9,0.00,0.00,99,33.7,28,22.93,98,33.7,0,2.95
10.8,29.9,0.00,0.00,98,33.7,28,22.93,99,33.7,0,2.95
10.9,29.9,0.00,0.00,99,33.7,28,22.93,99,33.7,0,2.95
9.9,29.9,0.00,0.00,99,33.7,29,22.93,99,33.7,0,2.95
10.4,29.9,0.00,0.00,98,33.7,28,22.93,98,33.7,0,2.95
19.3,29.9,0.00,0.00,99,31.06,29,22.93,15,31.06,0,2.95
7.0,26.0,0.00,0.00,0,31.06,22,22.93,0,31.06,0,2.95
76.2,27.0,0.00,0.00,0,31.06,26,22.93,0,31.06,0,2.95
14.0,27.4,0.00,0.00,0,31.06,27,22.93,0,31.06,0,2.95
43.7,28.4,0.00,0.00,0,31.06,26,22.93,0,31.06,0,2.95
99.8,29.4,0.00,0.00,0,31.06,28,22.93,0,31.06,0,2.95
21.3,29.9,0.00,0.00,0,33.7,29,22.93,31,33.7,0,2.95
10.1,29.9,0.00,0.00,99,33.7,29,22.93,99,33.7,0,2.95
10.7,29.9,0.00,0.00,99,33.7,28,22.93,98,33.7,0,2.95
10.4,29.9,0.00,0.00,98,33.7,29,22.93,99,33.7,0,2.95
12.1,29.9,0.00,0.00,99,33.7,28,22.93,99,33.7,0,2.95
10.6,29.8,0.00,0.00,99,33.7,28,22.93,98,33.7,0,2.95
11.4,29.9,0.00,0.00,99,33.7,27,22.93,99,33.7,0,2.95
10.7,29.8,0.00,0.00,99,33.7,26,22.93,98,33.7,0,2.95
10.4,29.9,0.00,0.00,99,33.7,26,22.93,98,33.7,0,2.95
10.8,29.9,0.00,0.00,99,33.7,30,22.93,99,33.7,0,2.95
11.6,29.9,0.00,0.00,99,33.7,28,22.93,99,33.7,0,2.95
11.6,29.9,0.00,0.00,98,33.7,29,22.93,99,33.7,0,2.95
10.8,29.9,0.00,0.00,98,33.7,29,22.93,99,33.7,0,2.95
10.8,29.9,0.00,0.00,99,33.7,30,22.93,99,33.7,0,2.95
11.0,29.9,0.00,0.00,99,33.7,29,22.93,99,33.7,0,2.95
10.9,29.9,0.00,0.00,98,33.7,29,22.93,99,33.7,0,2.95
11.8,29.9,0.00,0.00,99,33.7,30,22.93,99,33.7,0,2.95
13.2,29.9,0.00,0.00,99,33.7,28,22.93,99,33.7,0,2.95
10.6,29.9,0.00,0.00,98,33.7,28,22.93,99,33.7,0,2.95
10.9,29.9,0.00,0.00,99,33.7,27,22.93,99,33.7,0,2.95
10.8,29.9,0.00,0.00,98,33.7,27,22.93,99,33.7,0,2.95
10.3,29.9,0.00,0.00,98,33.7,28,22.93,99,33.7,0,2.95
10.4,29.9,0.00,0.00,99,33.7,28,22.93,99,33.7,0,2.95
10.6,29.9,0.00,0.00,98,33.7,28,22.93,99,33.7,0,2.95
6.7,29.8,0.00,0.00,99,33.7,28,22.93,13,2.95,0,2.95
2.1,14.2,0.00,0.00,8,2.95,29,22.93,5,2.95,0,2.95
2.3,14.2,0.00,0.00,0,2.95,30,22.93,0,2.95,0,2.95
2.3,14.2,0.00,0.00,0,2.95,31,22.93,0,2.95,0,2.95
3.9,14.2,0.00,0.00,0,2.95,30,22.93,0,2.95,0,2.95
27.1,15.3,0.00,0.00,0,2.95,26,22.93,0,2.95,0,2.95
8.8,16.7,0.00,0.00,0,2.95,25,22.93,0,2.95,0,2.95
8.6,17.7,0.00,0.00,0,6.33,23,22.93,4,9.28,1,8.67
8.7,23.2,0.00,0.00,3,12.43,26,22.93,5,15.88,5,15.0
9.1,29.0,0.00,0.00,3,18.93,25,22.93,19,22.93,0,27.08
9.1,30.9,0.00,0.00,30,22.93,24,22.93,32,22.93,0,27.08
8.6,31.1,0.00,0.00,29,22.93,24,22.93,32,22.93,0,27.08
9.8,31.6,0.00,0.00,28,22.93,28,22.93,31,22.93,0,27.08
8.4,32.1,0.00,0.00,30,22.93,29,22.93,33,22.93,0,27.08
8.7,32.5,0.00,0.00,28,22.93,32,22.93,29,22.93,0,27.08
11.0,32.8,0.00,0.00,28,22.93,29,22.93,31,22.93,80,33.06
11.4,32.9,0.00,0.00,27,22.93,32,22.93,31,22.93,91,33.06
11.1,32.9,0.00,0.00,26,22.93,31,22.93,32,22.93,91,33.06
12.7,32.9,0.00,0.00,29,22.93,31,22.93,30,22.93,91,33.06
12.0,32.9,0.00,0.00,31,22.93,31,22.93,32,22.93,91,33.06
11.5,32.8,0.00,0.00,28,22.93,30,22.93,36,22.93,91,33.06
11.5,32.9,0.00,0.00,29,22.93,31,22.93,29,22.93,92,33.06
11.5,32.8,0.00,0.00,31,22.93,31,22.93,31,22.93,92,33.06
11.3,32.8,0.00,0.00,29,22.93,30,22.93,33,22.93,92,33.06
11.6,32.8,0.00,0.00,37,22.93,30,22.93,28,22.93,91,33.06
12.3,32.8,0.00,0.00,28,22.93,31,22.93,30,22.93,91,33.06
13.2,32.8,0.00,0.00,33,22.93,31,22.93,31,22.93,91,33.06
11.2,32.8,0.00,0.00,31,22.93,32,22.93,26,22.93,92,33.06
11.6,32.8,0.00,0.00,33,22.93,31,21.35,33,22.93,91,33.06
11.3,32.8,0.00,0.00,32,22.93,32,22.93,32,22.93,91,33.06
11.1,32.8,0.00,0.00,31,22.93,30,22.93,32,22.93,91,33.06
11.5,32.8,0.00,0.00,26,22.93,31,22.93,30,22.93,90,33.06
11.4,32.8,0.00,0.00,28,22.93,31,22.93,31,22.93,89,33.06
11.3,32.8,0.00,0.00,32,22.93,31,22.93,32,22.93,92,33.06
11.3,32.8,0.00,0.00,28,22.93,30,22.93,34,22.93,92,33.06
11.1,32.8,0.00,0.00,27,22.93,30,22.93,27,22.93,91,33.06
11.4,32.8,0.00,0.00,30,22.93,30,22.93,33,22.93,92,33.06
13.7,32.8,0.00,0.00,29,22.93,29,22.93,32,22.93,91,33.06
11.8,32.8,0.00,0.00,30,22.93,29,22.93,31,22.93,92,33.06
11.6,32.8,0.00,0.00,30,22.93,29,22.93,30,22.93,91,33.06
10.7,32.8,0.00,0.00,30,22.93,28,22.93,32,22.93,90,33.06
13.3,32.8,0.00,0.00,28,22.93,29,22.93,31,22.93,89,33.06
11.3,32.8,0.00,0.00,28,22.93,30,2.95,28,22.93,90,33.06
50.4,27.7,0.00,0.00,35,22.93,0,2.95,32,22.93,88,33.06
11.1,27.9,0.00,0.00,29,22.93,0,2.95,34,22.93,89,33.06
11.2,28.4,0.00,0.00,26,22.93,0,5.45,31,22.93,90,33.06
12.7,30.1,0.00,0.00,29,22.93,4,12.68,32,22.93,91,33.06
11.5,32.1,0.00,0.00,28,22.93,4,18.93,36,22.93,91,33.06
11.3,32.9,0.00,0.00,29,22.93,31,22.93,30,22.93,92,33.06
11.3,32.9,0.00,0.00,28,22.93,32,22.93,35,22.93,94,33.06
11.4,32.9,0.00,0.00,27,22.93,33,22.93,37,22.93,94,33.06
10.9,32.9,0.00,0.00,28,22.93,30,22.93,38,22.93,94,33.06
11.1,32.9,0.00,0.00,27,22.93,31,22.93,34,22.93,94,33.06
11.3,32.9,0.00,0.00,27,22.93,32,22.93,30,22.93,94,33.06
11.5,32.9,0.00,0.00,31,22.93,30,22.93,26,22.93,94,33.06
11.5,32.9,0.00,0.00,31,22.93,31,22.93,32,22.93,94,33.06
11.6,32.9,0.00,0.00,28,22.93,31,22.93,33,22.93,94,33.06
11.5,32.9,0.00,0.00,28,22.93,31,22.93,32,22.93,95,33.06
11.7,32.9,0.00,0.00,30,22.93,30,22.93,35,22.93,94,33.06
11.9,32.9,0.00,0.00,28,22.93,27,22.93,32,22.93,94,33.06
11.6,32.9,0.00,0.00,28,22.93,26,22.93,33,22.93,93,33.06
11.9,32.9,0.00,0.00,28,22.93,29,22.93,31,22.93,93,33.06
11.4,32.9,0.00,0.00,29,22.93,31,22.93,29,22.93,73,30.48
9.1,30.6,0.00,0.00,30,22.93,30,22.93,35,22.93,0,30.48
8.9,31.1,0.00,0.00,28,22.93,29,22.93,34,22.93,0,30.48
8.7,31.6,0.00,0.00,28,22.93,29,22.93,31,22.93,0,30.48
9.6,32.2,0.00,0.00,31,22.93,29,22.93,29,22.93,0,30.48
8.9,32.3,0.00,0.00,30,22.93,31,22.93,32,21.83,0,30.48
8.9,32.8,0.00,0.00,26,22.93,31,22.93,30,22.93,63,33.06
11.3,32.9,0.00,0.00,30,22.93,29,22.93,28,22.93,94,33.06
13.0,32.9,0.00,0.00,32,22.93,29,22.93,35,22.93,94,33.06
11.3,32.9,0.00,0.00,29,22.93,31,22.93,33,22.93,91,33.06
11.7,32.9,0.00,0.00,28,22.93,29,22.93,35,22.93,94,33.06
11.8,32.9,0.00,0.00,27,22.93,31,22.93,35,22.93,94,33.06
11.1,32.9,0.00,0.00,28,22.93,30,22.93,30,22.93,93,33.06
11.3,32.9,0.00,0.00,26,22.93,30,22.93,33,22.93,95,33.06
11.5,32.8,0.00,0.00,30,22.93,30,22.93,33,22.93,94,33.06
11.5,32.8,0.00,0.00,31,22.93,29,22.93,31,22.93,94,33.06
11.8,32.8,0.00,0.00,32,22.93,30,22.93,29,22.93,94,33.06
12.1,32.8,0.00,0.00,30,22.93,30,22.93,32,22.93,92,33.06
11.6,32.8,0.00,0.00,30,22.93,30,22.93,31,22.93,94,33.06
11.1,32.8,0.00,0.00,30,22.93,24,22.93,29,22.93,93,33.06
11.1,32.8,0.00,0.00,35,22.93,30,22.93,28,22.93,94,33.06
11.8,32.8,0.00,0.00,31,22.93,27,22.93,29,22.93,95,33.06
11.7,32.8,0.00,0.00,30,22.93,25,22.93,29,22.93,96,33.06
12.0,32.9,0.00,0.00,31,22.93,25,22.93,34,22.93,96,33.06
11.6,32.9,0.00,0.00,29,22.93,26,22.93,32,22.93,95,33.06
10.9,32.9,0.00,0.00,29,22.93,25,22.93,34,22.93,95,33.06
10.9,32.9,0.00,0.00,28,22.93,26,20.12,35,22.66,95,33.06
12.1,32.8,0.00,0.00,31,22.93,24,22.93,38,22.93,94,33.06
11.4,32.9,0.00,0.00,27,22.93,26,22.93,35,22.93,94,33.06
11.3,32.9,0.00,0.00,28,22.93,26,22.93,31,22.93,95,33.06
11.7,32.9,0.00,0.00,29,22.93,30,22.93,36,22.93,94,33.06
11.9,32.9,0.00,0.00,29,22.93,29,22.93,34,22.93,92,33.06
11.4,32.9,0.00,0.00,29,22.93,31,22.93,33,22.93,93,33.06
11.3,32.9,0.00,0.00,29,22.93,31,22.93,34,22.93,92,33.06
11.5,27.9,0.00,0.00,29,22.93,7,2.95,32,22.93,95,33.06
