ave_cpu_allocate,ave_mem_allocate,ave_gpu_allocate,ave_gmem_allocate,idel_gpu_num,job_not_start_num,job_dealing_num,self.job_come_num,self.job_end_num
0.0,0.0,0.0,0.0,4,0,0,0,0
0.6,0.4069010416666667,0.75,0.0,1,0,4,4,0
1.05,0.7120768229166666,1.0,0.0,0,0,7,7,0
1.05,0.7120768229166666,1.0,0.0,0,0,7,7,0
1.05,0.7120768229166666,1.0,0.0,0,1,7,8,0
1.05,0.7120768229166666,1.0,0.0,0,1,7,8,0
1.05,0.7120768229166666,1.0,0.0,0,1,7,8,0
1.05,0.7120768229166666,1.0,0.0,0,1,7,8,0
1.05,0.7120768229166666,1.0,0.0,0,1,7,8,0
1.05,0.7120768229166666,1.0,0.0,0,2,7,9,0
1.05,0.7120768229166666,1.0,0.0,0,2,7,9,0
1.05,0.7120768229166666,1.0,0.0,0,3,7,10,0
1.05,0.7120768229166666,1.0,0.0,0,3,7,10,0
1.05,0.7120768229166666,1.0,0.0,0,3,7,10,0
1.05,0.7120768229166666,1.0,0.0,0,9,7,16,0
1.05,0.7120768229166666,1.0,0.0,0,14,7,21,0
1.05,0.7120768229166666,1.0,0.0,0,17,7,24,0
1.05,0.7120768229166666,1.0,0.0,0,17,7,24,0
1.05,0.7120768229166666,1.0,0.0,0,17,7,24,0
1.05,0.7120768229166666,1.0,0.0,0,18,7,25,0
1.05,0.7120768229166666,1.0,0.0,0,18,7,25,0
1.05,0.7120768229166666,1.0,0.0,0,18,7,25,0
1.05,0.7120768229166666,1.0,0.0,0,18,7,25,0
1.05,0.7120768229166666,1.0,0.0,0,18,7,25,0
1.05,0.7120768229166666,1.0,0.0,0,18,7,25,0
1.05,0.7120768229166666,1.0,0.0,0,18,7,25,0
1.5,1.0172526041666667,1.0,0.0,0,14,10,25,1
1.5,1.0172526041666667,1.0,0.0,0,15,10,26,1
1.5,1.0172526041666667,1.0,0.0,0,15,10,26,1
1.5,1.0172526041666667,1.0,0.0,0,15,10,26,1
1.5,1.0172526041666667,1.0,0.0,0,15,10,26,1
1.8,1.220703125,1.0,0.0,0,12,12,26,2
1.8,1.220703125,1.0,0.0,0,12,12,26,2
1.8,1.220703125,1.0,0.0,0,13,12,27,2
1.8,1.220703125,1.0,0.0,0,13,12,27,2
1.8,1.220703125,1.0,0.0,0,13,12,27,2
1.8,1.220703125,1.0,0.0,0,13,12,27,2
1.65,1.1189778645833333,1.0,0.0,0,15,11,29,3
1.65,1.1189778645833333,1.0,0.0,0,19,11,33,3
1.5,1.0172526041666667,1.0,0.0,0,24,10,38,4
1.5,1.0172526041666667,1.0,0.0,0,29,10,43,4
1.5,1.0172526041666667,1.0,0.0,0,30,10,44,4
1.5,1.0172526041666667,1.0,0.0,0,30,10,44,4
1.5,1.0172526041666667,1.0,0.0,0,30,10,44,4
1.5,1.0172526041666667,1.0,0.0,0,30,10,44,4
1.5,1.0172526041666667,1.0,0.0,0,31,10,45,4
1.5,1.0172526041666667,1.0,0.0,0,31,10,45,4
1.5,1.0172526041666667,1.0,0.0,0,31,10,45,4
1.5,1.0172526041666667,1.0,0.0,0,31,10,45,4
1.5,1.0172526041666667,1.0,0.0,0,32,10,46,4
1.95,1.3224283854166667,1.0,0.0,0,30,13,48,5
1.95,1.3224283854166667,1.0,0.0,0,34,13,52,5
1.95,1.3224283854166667,1.0,0.0,0,36,13,54,5
1.95,1.3224283854166667,1.0,0.0,0,37,13,55,5
1.95,1.3224283854166667,1.0,0.0,0,38,13,56,5
1.95,1.3224283854166667,1.0,0.0,0,38,13,56,5
1.95,1.3224283854166667,1.0,0.0,0,38,13,56,5
1.95,1.3224283854166667,1.0,0.0,0,38,13,56,5
1.95,1.3224283854166667,1.0,0.0,0,38,13,56,5
1.8,1.220703125,1.0,0.0,0,38,12,56,6
1.8,1.220703125,1.0,0.0,0,39,12,57,6
1.8,1.220703125,1.0,0.0,0,40,12,58,6
1.8,1.220703125,1.0,0.0,0,40,12,58,6
1.8,1.220703125,1.0,0.0,0,40,12,58,6
1.8,1.220703125,1.0,0.0,0,40,12,58,6
1.8,1.220703125,1.0,0.0,0,40,12,58,6
1.8,1.220703125,1.0,0.0,0,40,12,58,6
1.65,1.1189778645833333,1.0,0.0,0,42,11,60,7
1.65,1.1189778645833333,1.0,0.0,0,43,11,61,7
1.65,1.1189778645833333,1.0,0.0,0,46,11,64,7
1.5,1.0172526041666667,1.0,0.0,0,48,10,66,8
1.5,1.0172526041666667,1.0,0.0,0,52,10,70,8
1.5,1.0172526041666667,1.0,0.0,0,52,10,70,8
1.5,1.0172526041666667,1.0,0.0,0,52,10,70,8
1.35,0.91552734375,1.0,0.0,0,52,9,70,9
1.35,0.91552734375,1.0,0.0,0,52,9,70,9
1.35,0.91552734375,1.0,0.0,0,52,9,70,9
1.35,0.91552734375,1.0,0.0,0,52,9,70,9
1.2,0.8138020833333334,1.0,0.0,0,52,8,70,10
1.7,1.1189778645833333,1.0,0.0,0,49,11,71,11
1.7,1.1189778645833333,1.0,0.0,0,49,11,71,11
1.7,1.1189778645833333,1.0,0.0,0,49,11,71,11
1.7,1.1189778645833333,1.0,0.0,0,49,11,71,11
2.45,1.52587890625,1.0,0.0,0,46,14,72,12
2.45,1.52587890625,1.0,0.0,0,47,14,73,12
2.45,1.52587890625,1.0,0.0,0,49,14,75,12
2.3,1.4241536458333333,1.0,0.0,0,51,13,77,13
2.3,1.4241536458333333,1.0,0.0,0,51,13,77,13
2.3,1.4241536458333333,1.0,0.0,0,51,13,77,13
2.3,1.4241536458333333,1.0,0.0,0,51,13,77,13
2.3,1.4241536458333333,1.0,0.0,0,52,13,78,13
2.3,1.4241536458333333,1.0,0.0,0,52,13,78,13
2.15,1.3224283854166667,1.0,0.0,0,52,12,78,14
2.15,1.3224283854166667,1.0,0.0,0,52,12,78,14
2.0,1.220703125,1.0,0.0,0,53,11,79,15
1.85,1.1189778645833333,1.0,0.0,0,53,10,79,16
1.85,1.1189778645833333,1.0,0.0,0,54,10,80,16
1.85,1.1189778645833333,1.0,0.0,0,54,10,80,16
1.85,1.1189778645833333,1.0,0.0,0,54,10,80,16
