cpu_util,mem_util,gpu_util0,gmem_util0
24.6,8.0,87,12.87
25.5,8.0,78,12.87
24.9,8.0,89,12.87
24.7,8.0,73,12.87
59.6,6.6,90,12.87
26.4,6.2,90,12.87
25.7,6.1,84,12.87
27.7,6.1,90,12.87
26.2,6.2,76,12.87
21.7,6.1,77,12.87
24.8,6.0,77,12.87
25.2,6.0,77,12.87
24.6,6.0,75,12.87
22.1,6.0,72,12.87
23.7,6.0,74,12.87
25.7,6.0,36,12.87
23.7,5.4,0,12.87
16.4,5.4,0,12.87
24.0,5.5,0,12.87
62.1,5.6,0,12.87
19.4,5.7,0,12.87
21.6,5.7,0,12.87
41.2,5.8,0,12.87
23.5,5.8,0,12.87
19.7,5.9,0,12.87
21.2,6.0,6,12.87
22.2,6.0,87,12.87
24.6,6.0,89,12.87
26.0,6.0,83,12.87
27.2,6.0,77,12.87
23.7,6.0,74,12.87
27.5,6.0,74,12.87
22.2,6.0,74,12.87
22.7,6.0,73,12.87
23.2,6.0,73,12.87
25.7,6.0,82,12.87
25.0,6.0,77,12.87
23.6,6.0,76,12.87
26.4,6.0,78,12.87
25.3,6.0,75,12.87
24.3,6.0,79,12.87
25.7,6.0,73,12.87
24.5,6.0,53,12.87
22.3,5.4,33,1.27
252.58
