4.6,9.1,0.00,0.00,0,14.4
4.4,9.1,0.00,0.00,0,14.4
4.4,9.1,0.00,0.00,0,14.4
6.4,9.2,0.00,0.00,0,14.4
34.9,9.3,0.00,0.00,0,14.4
6.4,9.3,0.00,0.00,0,14.4
6.2,9.3,0.00,0.00,0,14.4
6.2,9.3,0.00,0.00,0,14.4
6.5,9.3,0.00,0.00,0,14.4
6.0,9.4,0.00,0.00,0,14.4
6.4,9.5,0.00,0.00,0,14.4
7.2,9.7,0.00,0.00,0,14.4
6.4,9.9,0.00,0.00,0,14.4
6.4,10.2,0.00,0.00,0,14.4
6.7,10.4,0.00,0.00,0,14.4
6.4,10.7,0.00,0.00,0,14.4
6.2,10.9,0.00,0.00,0,14.4
6.7,11.2,0.00,0.00,0,14.4
6.4,11.4,0.00,0.00,0,14.4
6.9,11.7,0.00,0.00,0,14.4
9.2,11.6,0.00,0.00,0,14.4
6.5,11.7,0.00,0.00,0,14.4
15.9,11.8,0.00,0.00,0,14.4
6.4,11.8,0.00,0.00,0,14.4
6.7,11.8,0.00,0.00,0,14.4
6.4,11.9,0.00,0.00,0,14.4
6.2,11.9,0.00,0.00,0,14.4
6.8,11.9,0.00,0.00,0,14.4
6.4,12.1,0.00,0.00,0,14.4
6.1,12.1,0.00,0.00,0,14.4
6.8,12.1,0.00,0.00,0,14.4
68.2,12.2,0.00,0.00,0,14.4
6.1,12.2,0.00,0.00,0,14.4
13.4,12.2,0.00,0.00,0,14.4
6.7,12.3,0.00,0.00,0,14.4
14.9,12.4,0.00,0.00,0,14.4
6.8,12.4,0.00,0.00,0,14.4
6.0,12.4,0.00,0.00,0,14.4
6.2,12.5,0.00,0.00,0,14.4
6.7,12.5,0.00,0.00,0,14.4
6.2,12.5,0.00,0.00,0,14.4
6.6,12.7,0.00,0.00,0,14.4
6.7,12.7,0.00,0.00,0,14.4
6.7,12.7,0.00,0.00,0,14.4
76.8,12.7,0.00,0.00,0,14.4
6.5,12.8,0.00,0.00,0,14.4
19.5,12.8,0.00,0.00,0,14.4
8.3,12.8,0.00,0.00,0,14.4
8.9,12.8,0.00,0.00,0,14.4
8.5,12.8,0.00,0.00,0,14.4
8.5,12.8,0.00,0.00,0,14.4
8.6,12.8,0.00,0.00,0,14.4
8.3,12.8,0.00,0.00,0,14.4
8.7,12.8,0.00,0.00,0,14.4
8.6,12.8,0.00,0.00,0,14.4
8.7,12.8,0.00,0.00,0,14.4
8.2,12.8,0.00,0.00,0,14.4
8.5,12.8,0.00,0.00,0,14.4
8.4,12.8,0.00,0.00,0,14.4
8.7,12.8,0.00,0.00,0,14.4
8.7,12.8,0.00,0.00,0,14.4
9.4,12.8,0.00,0.00,0,14.4
8.7,12.8,0.00,0.00,0,14.4
8.9,12.8,0.00,0.00,0,14.4
