cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1
100.0,41.8,0,12.86,0,1.27
99.6,41.9,0,12.86,0,1.27
100.0,42.0,0,12.86,0,1.27
100.0,41.9,0,12.86,0,1.27
100.0,41.9,39,12.86,0,1.27
100.0,42.0,47,12.86,0,1.27
100.0,42.0,41,12.86,0,1.27
99.6,42.0,59,12.86,0,1.27
100.0,42.0,38,12.86,0,1.27
100.0,42.0,56,12.86,0,1.27
100.0,42.0,35,12.86,0,1.27
100.0,42.0,31,12.86,0,1.27
100.0,42.0,32,12.86,0,1.27
100.0,42.0,47,12.86,0,1.27
100.0,42.0,59,12.86,0,1.27
100.0,42.0,42,12.86,0,1.27
100.0,42.0,56,12.86,0,1.27
94.2,42.0,53,12.86,0,1.27
100.0,42.0,0,12.86,0,1.27
100.0,41.5,0,12.86,0,1.27
100.0,41.5,0,12.86,0,1.27
100.0,41.6,0,12.86,0,1.27
100.0,41.7,0,12.86,0,1.27
100.0,41.7,0,12.86,0,1.27
100.0,41.7,0,12.86,0,1.27
100.0,41.8,0,12.86,0,1.27
100.0,41.9,0,12.86,0,1.27
100.0,41.9,0,12.86,0,1.27
100.0,42.0,0,12.86,0,1.27
100.0,42.0,0,12.86,0,1.27
100.0,42.0,41,12.86,0,1.27
100.0,41.9,56,12.86,0,1.27
99.8,42.0,32,12.86,0,1.27
100.0,41.9,41,12.86,0,1.27
99.9,42.0,39,12.86,0,1.27
100.0,42.0,31,12.86,0,1.27
100.0,42.1,36,12.86,0,1.27
100.0,42.0,43,12.86,0,1.27
100.0,42.0,31,12.86,0,1.27
100.0,42.0,48,12.86,0,1.27
100.0,41.9,35,12.86,0,1.27
100.0,42.0,38,12.86,0,1.27
100.0,42.0,36,12.86,0,1.27
100.0,42.0,53,12.86,0,1.27
99.6,42.0,51,12.86,0,1.27
100.0,41.4,0,12.86,0,1.27
100.0,41.6,0,12.86,0,1.27
100.0,41.6,0,12.86,0,1.27
100.0,41.6,0,12.86,0,1.27
100.0,41.7,0,12.86,0,1.27
100.0,41.7,0,12.86,0,1.27
100.0,41.9,0,12.86,0,1.27
97.5,41.9,0,12.86,0,1.27
100.0,41.9,0,12.86,0,1.27
100.0,42.0,0,12.86,0,1.27
100.0,42.0,0,12.86,0,1.27
100.0,42.0,57,12.86,0,1.27
100.0,42.0,43,12.86,0,1.27
100.0,42.0,34,12.86,0,1.27
99.8,39.9,47,12.86,0,1.27
100.0,37.8,54,12.86,0,1.27
100.0,29.3,45,12.86,0,1.27
100.0,30.8,38,12.86,0,1.27
100.0,31.2,48,12.86,0,1.27
100.0,31.4,34,12.86,0,1.27
100.0,31.7,41,12.86,0,1.27
100.0,31.3,37,12.86,0,1.27
100.0,31.7,29,12.86,0,1.27
100.0,32.0,51,12.86,1,1.27
100.0,32.7,67,12.86,0,1.27
100.0,33.1,43,12.86,0,1.27
100.0,34.0,0,12.86,0,1.27
99.5,35.5,0,1.27,0,1.27
100.0,25.9,0,1.27,0,1.27
100.0,25.8,0,1.27,0,1.27
461.47
