0.6,4.6,0.00,0.00,0,2.4,0,2.4,0,2.4
5.2,4.7,0.00,0.00,0,2.4,0,2.4,0,2.4
4.4,4.8,0.01,0.01,0,2.4,0,2.4,0,2.4
42.8,4.9,0.00,0.00,0,2.4,0,2.4,0,2.4
4.2,5.0,0.00,0.00,0,2.4,0,2.49,0,3.96
4.8,6.0,0.00,0.00,0,2.4,0,6.6,3,12.62
4.6,6.3,0.00,0.01,0,2.4,5,12.62,4,12.62
4.4,6.5,0.00,0.00,0,2.4,3,12.62,0,12.62
70.7,6.6,0.00,0.00,0,2.4,0,12.62,0,12.62
4.6,6.8,0.00,0.00,0,2.4,0,12.62,0,12.62
5.0,6.9,0.00,0.00,0,2.4,0,12.62,0,12.62
66.2,7.0,0.00,0.00,0,2.4,0,12.62,0,12.62
4.4,7.2,0.00,0.00,0,2.4,0,12.62,0,12.62
4.4,7.3,0.00,0.00,0,2.4,0,12.62,0,12.62
41.9,7.4,0.00,0.00,0,2.4,0,12.62,0,12.62
5.2,7.6,0.00,0.00,0,2.4,0,12.62,0,12.62
4.4,7.8,0.00,0.00,0,2.4,0,12.62,0,12.62
4.2,7.8,0.00,0.00,0,2.4,0,12.64,0,12.71
4.4,8.8,0.00,0.00,0,2.4,0,15.25,33,15.25
