cpu_util,mem_util,gpu_util0,gmem_util0
99.6,6.0,0,1.27
100.0,6.0,0,1.27
100.0,6.0,0,1.27
100.0,6.1,0,1.27
100.0,6.1,0,1.27
100.0,6.1,0,1.27
100.0,6.1,0,2.79
100.0,6.3,2,3.8
100.0,6.5,6,4.71
100.0,6.7,2,5.62
100.0,7.0,2,6.54
100.0,7.1,2,7.68
100.0,7.4,6,9.87
100.0,7.4,0,9.87
100.0,7.4,0,9.87
100.0,7.5,0,9.87
99.9,7.5,0,9.87
100.0,7.5,0,9.87
100.0,7.6,0,9.87
100.0,7.6,0,9.87
100.0,7.6,0,9.87
100.0,7.6,0,9.87
100.0,7.7,0,9.87
100.0,7.7,0,9.87
100.0,7.8,0,9.87
100.0,7.8,0,9.87
100.0,7.8,0,9.87
100.0,7.9,0,9.87
100.0,7.9,0,9.87
100.0,7.9,0,9.87
100.0,7.9,0,12.79
100.0,8.0,65,12.79
100.0,8.0,62,12.79
99.9,7.9,68,12.79
100.0,7.9,62,12.79
100.0,8.0,55,12.79
99.9,8.0,69,12.79
100.0,8.0,77,12.79
98.7,7.9,60,12.79
100.0,7.9,53,12.79
100.0,8.0,53,12.79
100.0,8.0,58,12.79
100.0,8.0,64,12.79
97.5,7.9,56,12.79
100.0,8.0,61,12.79
100.0,8.0,64,12.79
100.0,7.9,68,12.79
100.0,8.0,57,12.79
100.0,8.0,46,12.79
100.0,8.0,57,12.79
100.0,7.9,63,12.79
100.0,8.0,63,12.79
100.0,8.0,71,12.79
100.0,8.0,65,12.79
100.0,7.9,65,12.79
100.0,8.0,61,12.79
100.0,8.0,63,12.79
100.0,8.0,62,12.79
100.0,8.0,53,12.79
97.7,7.9,55,12.79
100.0,8.0,52,12.79
100.0,8.0,56,12.79
100.0,8.0,64,12.79
100.0,7.9,42,12.79
99.9,8.0,44,12.79
100.0,8.0,55,12.79
99.9,8.0,50,12.79
99.9,7.9,60,12.79
100.0,8.0,52,12.79
100.0,8.0,68,12.79
100.0,8.0,57,12.79
99.7,8.0,57,12.79
100.0,8.0,59,12.79
100.0,8.0,65,12.79
99.6,7.9,65,12.79
100.0,8.0,61,12.79
100.0,8.0,61,12.79
100.0,8.0,68,12.79
100.0,8.0,65,12.79
100.0,8.0,64,12.79
100.0,7.9,67,12.79
99.9,8.0,51,12.79
100.0,8.0,52,12.79
99.8,8.0,46,12.79
100.0,7.9,49,12.79
100.0,8.0,64,12.79
100.0,8.0,69,12.79
100.0,8.0,65,12.79
100.0,8.0,65,12.79
99.8,7.9,83,12.79
99.8,8.0,70,12.79
100.0,8.0,70,12.79
100.0,8.0,57,12.79
100.0,8.0,67,12.79
99.9,7.9,61,12.79
100.0,8.0,81,12.79
100.0,8.0,85,12.79
100.0,8.0,50,12.79
100.0,8.0,72,12.79
100.0,8.0,77,12.79
100.0,8.0,72,12.79
99.9,7.9,54,12.79
100.0,8.0,0,12.79
100.0,7.4,0,12.79
100.0,7.5,0,12.79
100.0,7.5,0,12.79
100.0,7.5,0,12.79
100.0,7.5,0,12.79
100.0,7.6,0,12.79
100.0,7.7,0,12.79
100.0,7.6,0,12.79
100.0,7.6,0,12.79
100.0,7.7,0,12.79
100.0,7.8,0,12.79
100.0,7.8,0,12.79
100.0,7.8,0,12.79
100.0,7.8,0,12.79
100.0,7.9,0,12.79
99.0,7.9,0,12.79
100.0,8.0,69,12.79
100.0,8.0,69,12.79
100.0,7.9,64,12.79
100.0,7.9,57,12.79
100.0,8.0,65,12.79
100.0,8.0,57,12.79
100.0,7.9,56,12.79
100.0,7.9,67,12.79
99.9,8.0,68,12.79
100.0,8.0,81,12.79
100.0,7.9,76,12.79
99.5,7.9,71,12.79
100.0,7.9,55,12.79
100.0,8.0,69,12.79
100.0,7.9,47,12.79
99.4,7.9,63,12.79
100.0,8.0,51,12.79
100.0,8.0,75,12.79
100.0,8.0,50,12.79
100.0,7.9,76,12.79
100.0,7.9,57,12.79
100.0,8.0,44,12.79
100.0,8.0,61,12.79
98.6,7.9,70,12.79
100.0,7.9,71,12.79
100.0,8.0,42,12.79
100.0,8.0,55,12.79
99.0,7.9,47,12.79
100.0,8.0,57,12.79
100.0,8.0,57,12.79
100.0,8.0,59,12.79
100.0,7.9,59,12.79
100.0,8.0,62,12.79
100.0,8.0,68,12.79
100.0,8.0,65,12.79
100.0,8.0,70,12.79
100.0,8.0,64,12.79
100.0,8.0,65,12.79
100.0,8.0,55,12.79
100.0,7.9,64,12.79
99.8,8.0,68,12.79
100.0,8.0,57,12.79
100.0,8.0,69,12.79
100.0,8.0,69,12.79
100.0,8.0,67,12.79
