cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2
89.1,6.2,0,1.27,0,1.27,0,1.27
56.1,6.6,0,1.27,1,2.97,2,4.12
95.6,8.1,3,5.47,3,6.99,6,8.97
26.0,10.4,0,10.77,0,10.77,0,10.77
91.6,11.0,0,10.77,0,10.77,0,10.77
92.9,11.6,0,10.77,0,10.77,0,10.77
96.4,12.1,0,10.77,0,10.81,99,12.98
62.2,12.3,97,12.97,97,12.97,99,12.98
91.4,12.3,98,12.97,97,12.97,99,12.98
35.2,12.3,98,12.97,99,12.97,96,12.98
24.6,12.3,98,12.97,97,12.97,99,12.98
57.6,12.3,99,12.97,99,12.97,99,12.98
93.5,12.3,98,12.97,98,12.97,99,12.98
56.2,12.3,98,12.97,97,12.97,99,12.98
94.0,12.3,98,12.97,99,12.97,98,12.98
58.0,12.3,98,12.97,98,12.97,98,12.98
93.1,12.3,99,12.97,99,12.97,98,12.98
62.2,12.3,98,12.97,0,12.97,0,12.98
91.9,10.9,0,12.97,0,12.97,0,12.98
95.4,11.3,0,12.97,0,12.97,0,12.98
24.7,11.8,0,12.97,0,12.97,0,12.98
93.0,12.3,99,12.97,98,12.97,99,12.98
60.3,12.3,100,12.97,98,12.97,97,12.98
94.2,12.3,98,12.97,98,12.97,97,12.98
54.8,12.3,97,12.97,99,12.97,98,12.98
96.4,12.3,97,12.97,99,12.97,98,12.98
58.8,12.3,98,12.97,95,12.97,99,12.98
91.5,12.3,99,12.97,97,12.97,99,12.98
56.7,12.3,98,12.97,98,12.97,99,12.98
93.2,12.3,98,12.97,99,12.97,99,12.98
28.9,12.3,99,12.97,99,12.97,98,12.98
90.4,12.3,99,12.97,99,12.97,0,12.98
49.2,10.7,0,12.97,0,12.97,0,12.98
90.2,11.2,0,12.97,0,12.97,0,12.98
75.7,11.7,0,12.97,0,12.97,0,12.98
91.7,12.0,0,12.97,0,12.97,98,12.98
53.4,12.4,99,12.97,96,12.97,98,12.98
91.4,12.3,99,12.97,98,12.97,85,12.98
97.3,12.3,97,12.97,96,12.97,91,12.98
72.0,12.3,99,12.97,99,12.97,99,12.98
90.0,12.3,98,12.97,97,12.97,97,12.98
56.2,12.3,98,12.97,98,12.97,99,12.98
94.1,12.3,97,12.97,99,12.97,98,12.98
56.1,12.3,99,12.97,99,12.97,98,12.98
90.3,12.3,98,12.97,98,12.97,99,12.98
60.5,12.3,98,12.97,98,12.97,99,12.98
88.6,12.3,0,12.97,0,12.97,0,12.98
94.0,10.8,0,12.97,0,12.97,0,12.98
23.9,11.3,0,12.97,0,12.97,0,12.98
88.8,11.8,0,12.97,0,12.97,0,12.98
57.9,12.3,98,12.97,98,12.97,90,12.98
94.3,12.3,98,12.97,97,12.97,98,12.98
58.0,12.4,98,12.97,98,12.97,98,12.98
92.2,12.3,99,12.97,99,12.97,98,12.98
36.4,12.4,98,12.97,97,12.97,98,12.98
27.5,12.4,98,12.97,99,12.97,99,12.98
93.3,12.4,99,12.97,98,12.97,99,12.98
28.2,12.4,96,12.97,98,12.97,97,12.98
92.0,12.4,94,12.97,97,12.97,98,12.98
61.4,12.4,97,12.97,97,12.97,97,12.98
94.5,12.3,98,12.97,64,12.97,0,12.98
84.9,10.8,0,12.97,0,12.97,0,12.98
91.6,11.3,0,12.97,0,12.97,0,12.98
85.8,11.8,0,12.97,0,12.97,0,12.98
69.8,12.3,100,12.97,98,12.97,98,12.98
60.0,12.3,99,12.97,98,12.97,98,12.98
89.5,12.3,96,12.97,98,12.97,98,12.98
71.4,12.3,98,12.97,98,12.97,99,12.98
29.7,12.4,99,12.97,98,12.97,99,12.98
85.7,12.3,97,12.97,98,12.97,98,12.98
30.4,12.3,98,12.97,99,12.97,98,12.98
95.7,12.3,99,12.97,99,12.97,99,12.98
55.4,12.2,98,12.97,97,12.97,98,12.98
95.1,12.2,98,12.97,96,12.97,98,12.98
