cpu_util,mem_util,gpu_util0,gmem_util0
99.4,5.9,0,1.27
100.0,5.9,0,1.27
99.6,6.0,0,1.27
98.2,6.0,0,1.27
100.0,6.0,0,1.27
100.0,6.0,0,1.27
100.0,6.0,0,1.27
98.9,6.1,1,2.96
100.0,6.3,2,3.93
100.0,6.5,2,5.03
100.0,6.8,2,6.1
99.4,7.0,5,7.29
100.0,7.3,1,9.87
100.0,7.3,0,9.87
100.0,7.3,0,9.87
100.0,7.4,0,9.87
100.0,7.4,0,9.87
100.0,7.4,0,9.87
98.3,7.5,0,9.87
100.0,7.6,0,9.87
100.0,7.6,0,9.87
100.0,7.6,0,9.87
100.0,7.6,0,9.87
100.0,7.7,0,9.87
100.0,7.7,0,9.87
100.0,7.7,0,9.87
98.3,7.7,0,9.87
100.0,7.8,0,9.87
100.0,7.9,0,9.87
100.0,7.8,0,9.87
100.0,7.9,0,9.97
100.0,7.9,67,12.79
100.0,7.9,67,12.79
99.6,7.9,64,12.79
100.0,7.9,55,12.79
100.0,7.9,69,12.79
100.0,7.9,51,12.79
99.7,7.9,60,12.79
100.0,7.9,66,12.79
100.0,7.9,64,12.79
99.9,7.9,82,12.79
100.0,7.9,66,12.79
100.0,7.9,53,12.79
100.0,7.9,62,12.79
100.0,7.9,62,12.79
100.0,7.8,63,12.79
100.0,7.9,46,12.79
100.0,7.9,56,12.79
100.0,7.9,64,12.79
100.0,7.9,52,12.79
100.0,7.9,62,12.79
100.0,7.9,62,12.79
100.0,7.8,67,12.79
100.0,7.9,61,12.79
100.0,7.9,60,12.79
100.0,7.9,72,12.79
100.0,7.9,60,12.79
99.2,7.8,53,12.79
100.0,7.9,64,12.79
100.0,7.9,64,12.79
100.0,7.9,70,12.79
99.9,7.9,65,12.79
99.8,7.9,68,12.79
100.0,7.9,66,12.79
100.0,7.8,60,12.79
100.0,7.9,63,12.79
100.0,7.9,62,12.79
100.0,7.9,69,12.79
99.9,7.9,66,12.79
100.0,7.9,62,12.79
100.0,7.9,53,12.79
100.0,7.9,59,12.79
100.0,7.9,67,12.79
99.0,7.8,81,12.79
100.0,7.9,85,12.79
100.0,7.9,85,12.79
100.0,7.9,62,12.79
100.0,7.9,76,12.79
100.0,7.9,65,12.79
100.0,7.9,57,12.79
100.0,7.9,56,12.79
100.0,7.9,69,12.79
100.0,7.9,64,12.79
100.0,7.9,62,12.79
100.0,7.9,67,12.79
100.0,7.9,73,12.79
99.8,7.9,57,12.79
99.8,7.9,72,12.79
100.0,7.9,63,12.79
100.0,7.9,66,12.79
100.0,7.9,66,12.79
100.0,7.9,54,12.79
100.0,7.9,63,12.79
100.0,7.9,51,12.79
99.7,7.9,66,12.79
100.0,7.9,48,12.79
100.0,7.9,62,12.79
100.0,7.9,76,12.79
100.0,7.9,59,12.79
100.0,7.9,62,12.79
100.0,7.9,65,12.79
100.0,7.9,0,12.79
100.0,7.3,0,12.79
100.0,7.4,0,12.79
100.0,7.4,0,12.79
100.0,7.4,0,12.79
100.0,7.4,0,12.79
100.0,7.5,0,12.79
100.0,7.6,0,12.79
100.0,7.6,0,12.79
100.0,7.6,0,12.79
100.0,7.7,0,12.79
100.0,7.7,0,12.79
100.0,7.7,0,12.79
100.0,7.7,0,12.79
100.0,7.7,0,12.79
100.0,7.8,0,12.79
100.0,7.9,0,12.79
