100.0,39.7,0.00,0.00,0,13.62,27,23.68,35,23.68,22,23.68,0,25.45,25,16.03,31,18.89,0,1.27
100.0,40.6,0.00,0.00,0,13.62,11,23.68,18,23.68,24,23.68,0,25.45,28,13.48,18,17.19,0,1.27
100.0,41.9,0.00,0.00,0,13.62,49,23.68,48,23.68,100,9.4,0,25.45,34,14.95,16,19.41,0,1.27
100.0,44.0,0.00,0.00,0,13.62,20,23.68,52,23.68,100,18.4,0,25.45,17,19.82,14,16.34,0,1.27
100.0,49.1,0.00,0.00,0,13.62,46,31.06,100,34.77,5,21.83,0,25.45,11,31.63,11,17.19,0,1.27
100.0,53.6,0.00,0.00,0,13.62,23,38.1,30,40.05,18,26.33,0,25.45,23,45.81,11,23.68,0,1.27
100.0,56.9,0.00,0.00,0,13.62,47,36.88,28,38.47,25,35.99,0,25.45,32,49.77,13,23.68,0,1.27
100.0,59.2,0.00,0.00,0,13.62,26,32.92,29,46.29,19,41.43,0,25.45,40,49.91,39,8.93,0,1.27
100.0,62.2,0.00,0.00,0,13.62,31,40.89,51,52.76,56,44.16,0,25.45,96,58.22,100,23.68,0,1.27
100.0,63.2,0.00,0.00,0,13.62,61,39.71,81,55.7,77,44.16,0,25.45,87,58.22,100,23.68,0,1.27
100.0,63.7,0.00,0.00,0,13.62,55,30.19,63,45.92,63,38.83,0,25.45,91,58.22,22,23.68,0,1.27
100.0,64.9,0.00,0.00,0,13.62,100,43.88,100,51.9,36,31.21,0,25.45,100,51.82,15,23.68,0,1.27
100.0,65.0,0.00,0.00,0,13.62,97,43.88,83,55.7,100,44.16,0,25.45,82,47.51,40,23.02,0,1.27
100.0,63.8,0.00,0.00,0,13.62,17,45.98,83,55.7,100,46.01,0,25.45,84,47.43,24,13.17,0,1.27
100.0,65.3,0.00,0.00,0,13.62,35,45.98,95,57.55,82,46.01,0,25.45,90,58.22,71,22.63,0,1.27
100.0,66.8,0.00,0.00,0,13.62,57,45.98,62,57.55,68,46.01,0,25.45,87,58.22,100,23.68,0,1.27
99.9,67.5,0.00,0.00,0,13.62,53,34.19,76,47.34,66,41.53,0,25.45,85,58.22,42,23.68,0,1.27
100.0,67.1,0.00,0.00,0,13.62,100,45.91,84,43.66,74,36.22,0,25.45,86,58.22,41,23.68,0,1.27
100.0,66.3,0.00,0.00,0,13.62,100,45.9,100,56.69,100,46.01,0,25.45,59,49.49,13,23.68,0,1.27
100.0,65.7,0.00,0.00,0,13.62,86,45.91,85,56.69,79,46.01,0,25.45,87,46.09,36,19.42,0,1.27
100.0,66.6,0.00,0.00,0,13.62,63,45.91,57,56.69,62,46.01,0,25.45,70,45.13,31,16.24,0,1.27
100.0,67.4,0.00,0.00,0,13.62,66,45.92,89,57.55,79,46.01,0,25.45,80,45.15,8,18.67,0,1.27
100.0,66.7,0.00,0.00,0,13.62,50,45.92,69,57.55,45,46.01,0,25.45,89,58.22,36,10.73,0,1.27
100.0,67.1,0.00,0.00,0,13.62,48,45.92,74,57.55,72,46.01,0,25.45,84,58.22,100,23.68,0,1.27
99.9,65.3,0.00,0.00,0,13.62,46,39.63,71,46.83,57,46.01,0,25.45,100,58.22,100,23.68,0,1.27
100.0,64.9,0.00,0.00,0,13.62,64,33.49,87,37.81,54,42.06,0,25.45,82,58.22,31,23.68,0,1.27
100.0,62.3,0.00,0.00,0,13.62,100,45.91,75,32.5,36,37.29,0,25.45,95,57.31,29,23.68,0,1.27
100.0,59.6,0.00,0.00,0,13.62,51,45.91,76,46.83,37,31.26,0,25.45,67,50.8,35,23.67,0,1.27
100.0,61.1,0.00,0.00,0,13.62,73,45.91,77,46.83,100,46.01,0,25.45,51,45.52,20,17.82,0,1.27
100.0,61.2,0.00,0.00,0,13.62,42,45.92,75,45.95,51,46.01,0,25.45,81,43.36,38,13.58,0,1.27
100.0,61.1,0.00,0.00,0,13.62,59,45.92,27,45.09,59,46.01,0,25.45,81,58.22,100,23.68,0,1.27
99.9,63.2,0.00,0.00,0,13.62,45,41.77,17,45.09,52,35.28,0,25.45,99,58.22,100,23.68,0,1.27
100.0,61.5,0.00,0.00,0,13.62,100,36.83,30,34.15,50,26.68,0,25.45,70,46.67,27,23.68,0,1.27
99.9,59.3,0.00,0.00,0,13.62,100,45.91,100,34.88,69,24.57,0,25.45,84,41.13,47,23.69,0,1.27
100.0,59.4,0.00,0.00,0,13.62,70,45.91,82,46.83,100,20.21,0,25.45,78,38.58,30,23.67,0,1.27
100.0,60.1,0.00,0.00,0,13.62,54,45.91,81,46.83,49,35.28,0,25.45,79,34.35,35,16.56,0,1.27
100.0,59.9,0.00,0.00,0,13.62,27,45.91,73,46.83,38,34.4,0,25.45,87,46.67,17,10.74,0,1.27
100.0,60.0,0.00,0.00,0,13.62,77,45.91,66,46.83,42,34.4,0,25.45,74,46.67,100,23.68,0,1.27
100.0,59.0,0.00,0.00,0,13.62,54,42.18,54,35.23,25,34.4,0,25.45,82,46.66,100,23.68,0,1.27
100.0,57.8,0.00,0.00,0,13.62,57,37.95,59,30.95,46,35.28,0,25.45,87,46.67,79,23.68,0,1.27
100.0,58.3,0.00,0.00,0,13.62,36,33.28,60,28.29,65,31.45,0,25.45,75,46.67,39,23.68,0,1.27
100.0,58.8,0.00,0.00,0,13.62,100,45.91,87,20.81,68,24.46,0,25.45,92,42.93,45,23.68,0,1.27
100.0,59.7,0.00,0.00,0,13.62,69,45.91,100,34.36,100,21.17,0,25.45,78,37.97,24,23.67,0,1.27
100.0,61.5,0.00,0.00,0,13.62,78,45.91,34,34.36,41,34.34,0,25.45,78,32.87,33,16.34,0,1.27
100.0,59.7,0.00,0.00,0,13.62,49,45.91,30,34.36,38,23.68,0,25.45,68,46.67,85,22.21,0,1.27
100.0,59.7,0.00,0.00,0,13.62,61,41.86,31,34.36,46,23.68,0,25.45,38,46.67,100,23.68,0,1.27
100.0,58.8,0.00,0.00,0,13.62,46,37.99,50,30.85,36,23.68,0,25.45,29,45.83,67,23.68,0,1.27
100.0,55.5,0.00,0.00,0,13.62,37,28.81,69,30.73,38,23.68,0,25.45,37,34.31,47,23.68,0,1.27
100.0,55.3,0.00,0.00,0,13.62,40,27.67,66,31.15,25,23.68,0,25.45,49,34.31,100,23.68,0,1.27
100.0,55.6,0.00,0.00,0,13.62,44,26.91,41,30.33,21,23.68,0,25.45,85,35.15,100,23.68,0,1.27
100.0,55.3,0.00,0.00,0,13.62,22,22.77,55,28.3,33,23.68,0,25.45,77,35.15,39,23.68,0,1.27
100.0,51.6,0.00,0.00,0,13.62,21,25.81,49,28.94,34,23.68,0,25.45,57,35.15,60,23.68,0,1.27
100.0,50.6,0.00,0.00,0,13.62,28,24.23,59,28.63,1,16.66,0,25.45,82,35.15,44,23.68,0,1.27
100.0,50.9,0.00,0.00,0,13.62,61,24.47,43,28.2,41,23.68,0,25.45,62,35.15,31,23.68,0,1.27
100.0,51.3,0.00,0.00,0,13.62,44,23.74,39,16.77,22,23.68,0,25.45,71,35.15,40,23.68,0,1.27
100.0,50.5,0.00,0.00,0,13.62,34,23.74,35,17.71,22,23.68,0,25.45,82,35.15,48,23.68,0,1.27
100.0,51.4,0.00,0.00,0,13.62,60,26.17,15,17.39,53,23.68,0,25.45,68,35.15,39,23.68,0,1.27
100.0,51.5,0.00,0.00,0,13.62,27,22.76,37,19.51,30,23.68,0,25.45,75,35.15,22,23.68,0,1.27
100.0,52.1,0.00,0.00,0,13.62,35,22.12,33,16.03,25,18.77,0,25.45,96,35.15,26,23.68,0,1.27
100.0,52.2,0.00,0.00,0,13.62,7,22.13,35,16.66,21,22.61,0,25.45,71,35.15,48,23.67,0,1.27
100.0,53.1,0.00,0.00,0,13.62,75,24.79,25,18.46,15,19.19,0,25.45,60,35.15,47,23.68,0,1.27
100.0,52.9,0.00,0.00,0,13.62,100,23.0,35,16.13,34,19.2,0,25.45,40,35.15,43,23.68,0,1.27
100.0,53.0,0.00,0.00,0,13.62,100,35.31,87,8.83,30,13.16,0,25.45,60,31.73,54,23.68,0,1.27
100.0,53.1,0.00,0.00,0,13.62,36,35.31,22,23.68,47,12.43,0,25.45,76,28.55,42,23.68,0,1.27
100.0,51.0,0.00,0.00,0,13.62,36,23.68,100,23.68,13,9.24,0,25.45,43,28.33,27,23.68,0,1.27
100.0,51.4,0.00,0.00,0,13.62,22,23.68,28,23.68,84,9.36,0,25.45,55,27.6,21,21.83,0,1.27
100.0,51.6,0.00,0.00,0,13.62,27,23.68,43,23.67,100,18.08,0,25.45,39,24.32,48,19.52,0,1.27
100.0,51.6,0.00,0.00,0,13.62,35,23.68,34,23.68,31,23.68,0,25.45,72,22.84,17,15.82,0,1.27
100.0,51.8,0.00,0.00,0,13.62,37,23.68,13,23.68,33,23.68,0,25.45,67,22.2,32,17.72,0,1.27
100.0,51.7,0.00,0.00,0,13.62,32,23.68,47,23.67,47,23.68,0,25.45,60,22.08,20,16.14,0,1.27
100.0,51.8,0.00,0.00,0,13.62,33,23.68,27,23.68,58,23.68,0,25.45,48,20.29,31,13.92,0,1.27
100.0,51.6,0.00,0.00,0,13.62,39,23.68,42,23.68,100,23.68,0,25.45,44,29.34,35,12.97,0,1.27
100.0,51.5,0.00,0.00,0,13.62,17,23.68,33,23.68,28,23.68,0,25.45,73,35.15,15,10.0,0,1.27
100.0,51.4,0.00,0.00,0,13.62,34,23.68,43,23.68,63,23.68,0,25.45,67,35.15,26,8.42,0,1.27
100.0,51.6,0.00,0.00,0,13.62,23,22.59,27,23.68,39,23.68,0,25.45,59,35.15,100,23.68,0,1.27
100.0,50.2,0.00,0.00,0,13.62,30,16.33,32,20.57,33,23.68,0,25.45,32,23.68,52,23.68,0,1.27
100.0,38.6,0.00,0.00,0,13.62,41,15.06,24,19.84,14,23.68,0,25.45,29,23.68,23,23.68,0,1.27
100.0,40.4,0.00,0.00,0,13.62,34,17.17,47,23.68,41,23.68,0,25.45,45,23.68,42,23.68,0,1.27
100.0,42.0,0.00,0.00,0,13.62,34,19.2,30,23.68,43,23.68,0,25.45,67,23.68,27,9.04,0,1.27
100.0,37.5,0.00,0.00,0,13.62,41,23.68,25,23.68,43,23.68,0,25.45,100,23.68,36,11.92,0,1.27
100.0,33.6,0.00,0.00,0,13.62,33,23.68,49,23.68,49,23.68,0,25.45,34,10.93,35,16.34,0,1.27
