AlexNet-8-1-[14.742657661437988,0.0003300714597571641,0.013493334874510765,0.0008897852967493236]
AlexNet-8-2-[16.40694808959961,0.0003217625489924103,0.04728107526898384,0.000611240859143436]
AlexNet-8-3-[16.92812156677246,0.0003237438213545829,0.06393828988075256,0.0006294584018178284]
AlexNet-8-4-[17.884645462036133,0.0003089594829361886,0.07542559504508972,0.0005441498942673206]
AlexNet-16-1-[14.732616424560547,0.0003759837127290666,0.014396927319467068,0.0006859850836917758]
AlexNet-16-2-[16.00694465637207,0.0003996682062279433,0.053493112325668335,0.0005166959599591792]
AlexNet-16-3-[17.2801513671875,0.0003627061960287392,0.0664081946015358,0.0005962061695754528]
AlexNet-16-4-[17.969545364379883,0.0004282355366740376,0.07415637373924255,0.0007900142809376121]
AlexNet-32-1-[14.851031303405762,0.0005533528164960444,0.014690694399178028,0.000779004069045186]
AlexNet-32-2-[16.242067337036133,0.0005392145831137896,0.0478958785533905,0.0005423760158009827]
AlexNet-32-3-[17.60862159729004,0.0005353474407456815,0.06685454398393631,0.0006388950278051198]
AlexNet-32-4-[18.161083221435547,0.0005882334662601352,0.0755685567855835,0.0006746196886524558]
AlexNet-64-1-[14.77479362487793,0.0009274291805922985,0.016965923830866814,0.0007339286967180669]
AlexNet-64-2-[15.823616981506348,0.0007666421006433666,0.04951371252536774,0.0008306765812449157]
AlexNet-64-3-[17.05059242248535,0.0009071374079212546,0.0687323734164238,0.0006184792728163302]
AlexNet-64-4-[18.029541015625,0.00103673932608217,0.07662448287010193,0.0006151103880256414]
AlexNet-128-1-[14.640169143676758,0.005898301489651203,0.018969113007187843,0.0008471107576042414]
AlexNet-128-2-[16.054018020629883,0.0015232110163196921,0.05318695306777954,0.0006418180419132113]
AlexNet-128-3-[16.84238052368164,0.0015836000675335526,0.07023244351148605,0.0009214830351993442]
AlexNet-128-4-[18.088890075683594,0.0014763808576390147,0.08502461761236191,0.0007274579838849604]
ResNet18-8-1-[14.72589111328125,0.00031753061921335757,0.013402883894741535,0.000584449793677777]
ResNet18-8-2-[15.733765602111816,0.0003635406610555947,0.0472024567425251,0.0006028890493325889]
ResNet18-8-3-[17.33097267150879,0.0002807950950227678,0.06458869576454163,0.0005829906440339983]
ResNet18-8-4-[18.206581115722656,0.0002968430635519326,0.07315567880868912,0.0006850790814496577]
ResNet18-16-1-[14.637414932250977,0.00046549559920094907,0.014485741034150124,0.0009930467931553721]
ResNet18-16-2-[15.62641429901123,0.00037452459218911827,0.04735508933663368,0.0006288576405495405]
ResNet18-16-3-[17.406089782714844,0.0003018331481143832,0.06606201082468033,0.0005552268121391535]
ResNet18-16-4-[18.316173553466797,0.00047099828952923417,0.0718761533498764,0.0006676340126432478]
ResNet18-32-1-[14.732704162597656,0.0006213068845681846,0.014673197641968727,0.0008109044865705073]
ResNet18-32-2-[15.993304252624512,0.0006143665523268282,0.048186834901571274,0.0006265902775339782]
ResNet18-32-3-[17.171833038330078,0.0005409574368968606,0.06581313908100128,0.0006646585534326732]
ResNet18-32-4-[18.12670135498047,0.000632622221019119,0.07238589972257614,0.0007081675576046109]
ResNet18-64-1-[14.826045989990234,0.0009435820393264294,0.017274344339966774,0.0007829666137695312]
